KEY,DATE,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED,UTILIZATION
02/01/2026_07g00_1,2026-01-02,B1-208,84,84,"EE2081(44), CO2011(40)",1.0
02/01/2026_07g00_1,2026-01-02,B1-306,84,78,"CH2003(43), CO2011(35)",0.9285714285714286
02/01/2026_07g00_1,2026-01-02,B1-311,80,73,"CH2003(39), TR3001(34)",0.9125
02/01/2026_07g00_1,2026-01-02,C4-301,80,79,"EE2015(33), CI2003(32), CI1003(14)",0.9875
02/01/2026_07g00_1,2026-01-02,B1-305,72,62,"CH2003(31), CH4101(31)",0.8611111111111112
02/01/2026_07g00_1,2026-01-02,B1-212,72,61,"EE2081(31), CH2003(30)",0.8472222222222222
02/01/2026_07g00_1,2026-01-02,B1-213,72,60,"EE2081(30), EE2015(30)",0.8333333333333334
02/01/2026_07g00_1,2026-01-02,B1-309,56,54,"EE2081(30), EE3117(24)",0.9642857142857143
02/01/2026_07g00_1,2026-01-02,B1-313,56,53,"EE2081(30), CI2003(23)",0.9464285714285714
02/01/2026_07g00_1,2026-01-02,B1-314,56,52,"EE2081(30), EE2015(22)",0.9285714285714286
02/01/2026_07g00_1,2026-01-02,B1-315,56,51,"EE2081(30), ME4133(21)",0.9107142857142857
02/01/2026_07g00_1,2026-01-02,B6-304,60,60,"EE3089(30), CH2003(30)",1.0
02/01/2026_07g00_1,2026-01-02,B9-201,60,60,"ME4133(30), CH2003(30)",1.0
02/01/2026_07g00_1,2026-01-02,C6-102,100,90,"CI1003(30), CO2011(30), CI2003(30)",0.9
02/01/2026_07g00_1,2026-01-02,B4-402,60,60,"CO2011(30), TR3001(30)",1.0
02/01/2026_07g00_1,2026-01-02,B4-301,60,59,"CO2011(30), EE3089(29)",0.9833333333333333
02/01/2026_07g00_1,2026-01-02,B4-302,60,59,"CO2011(30), CI2003(29)",0.9833333333333333
02/01/2026_07g00_1,2026-01-02,B4-303,60,59,"CO2011(30), CH2003(29)",0.9833333333333333
02/01/2026_07g00_1,2026-01-02,B4-305,80,79,"CO2011(30), CH2003(28), TR3001(21)",0.9875
02/01/2026_07g00_1,2026-01-02,B4-306,80,49,"CO2011(30), EE2081(19)",0.6125
02/01/2026_07g00_1,2026-01-02,B4-401,60,49,"CO2011(30), EE2081(19)",0.8166666666666667
02/01/2026_07g00_1,2026-01-02,B6-302,60,30,CO2011(30),0.5
02/01/2026_07g00_1,2026-01-02,B4-501,80,30,CO2011(30),0.375
02/01/2026_07g00_1,2026-01-02,B4-502,80,30,CO2011(30),0.375
02/01/2026_07g00_1,2026-01-02,B4-403,60,29,CO2011(29),0.48333333333333334
02/01/2026_07g00_1,2026-01-02,B6-303,60,28,CO2011(28),0.4666666666666667
02/01/2026_07g00_1,2026-01-02,B4-405,60,20,CO2011(20),0.3333333333333333
02/01/2026_07g00_1,2026-01-02,B6-301,50,19,CO2011(19),0.38
02/01/2026_07g00_2,2026-01-02,H3-301,142,140,"CH2003(50), ME4133(46), EE2015(44)",0.9859154929577465
02/01/2026_07g00_2,2026-01-02,H3-306,142,130,"CH2003(46), CO2011(42), EE2015(42)",0.9154929577464789
02/01/2026_07g00_2,2026-01-02,H2-406,156,155,"CH4101(41), CI2003(40), CO2011(40), CH2003(34)",0.9935897435897436
02/01/2026_07g00_2,2026-01-02,H2-401,156,156,"CO2011(40), CI2003(40), CH2003(40), EE2081(36)",1.0
02/01/2026_07g00_2,2026-01-02,H2-404,93,80,"CO2011(40), CH2003(40)",0.8602150537634409
02/01/2026_07g00_2,2026-01-02,H3-304,88,80,"CH2003(40), CH4101(40)",0.9090909090909091
02/01/2026_07g00_2,2026-01-02,H3-403,88,80,"EE2015(40), CO2011(40)",0.9090909090909091
02/01/2026_07g00_2,2026-01-02,H3-404,88,80,"EE2015(40), EE2081(40)",0.9090909090909091
02/01/2026_07g00_2,2026-01-02,H3-501,142,138,"EE2015(40), EE2081(40), EE3117(40), TR3001(18)",0.971830985915493
02/01/2026_07g00_2,2026-01-02,H3-503,88,80,"EE2015(40), EE2081(40)",0.9090909090909091
02/01/2026_07g00_2,2026-01-02,H6-516,114,114,"EE2081(40), CO2011(40), CI2003(34)",1.0
02/01/2026_07g00_2,2026-01-02,H6-802,120,120,"EE2081(40), CO2011(40), TR3001(40)",1.0
02/01/2026_07g00_2,2026-01-02,H6-810,120,120,"EE2081(40), CI2003(40), CO2011(40)",1.0
02/01/2026_07g00_2,2026-01-02,H6-811,150,147,"EE2081(40), CO2011(40), CI2003(40), EE3017(27)",0.98
02/01/2026_07g00_2,2026-01-02,H2-205,117,117,"CO2011(40), CI2003(40), EE2081(37)",1.0
02/01/2026_07g00_2,2026-01-02,H2-202,117,117,"CO2011(40), CI2003(40), EE2081(37)",1.0
02/01/2026_07g00_2,2026-01-02,H6-412,123,118,"CI2003(40), CO2011(40), CH2003(38)",0.959349593495935
02/01/2026_07g00_2,2026-01-02,H6-405,120,117,"CI2003(40), CO2011(39), EE2081(38)",0.975
02/01/2026_07g00_2,2026-01-02,H6-211,126,109,"CI2003(40), EE3089(26), EE2081(23), EE3117(20)",0.8650793650793651
02/01/2026_07g00_2,2026-01-02,H6-311,135,40,CI2003(40),0.2962962962962963
02/01/2026_07g00_2,2026-01-02,H6-112,80,39,CI2003(39),0.4875
02/01/2026_07g00_2,2026-01-02,H6-208,117,39,CI2003(39),0.3333333333333333
02/01/2026_07g00_2,2026-01-02,H6-206,80,38,CI2003(38),0.475
02/01/2026_07g00_2,2026-01-02,H6-210,80,37,CI2003(37),0.4625
02/01/2026_07g00_2,2026-01-02,H6-213,80,37,CI2003(37),0.4625
02/01/2026_07g00_2,2026-01-02,H6-212,80,37,CI2003(37),0.4625
02/01/2026_07g00_2,2026-01-02,H6-313,80,36,CI2003(36),0.45
02/01/2026_07g00_2,2026-01-02,H6-310,80,36,CI2003(36),0.45
02/01/2026_07g00_2,2026-01-02,H6-312,80,36,CI2003(36),0.45
02/01/2026_07g00_2,2026-01-02,H6-214,80,36,CI2003(36),0.45
02/01/2026_07g00_2,2026-01-02,H6-411,80,35,CI2003(35),0.4375
02/01/2026_07g00_2,2026-01-02,H6-413,80,35,CI2003(35),0.4375
02/01/2026_07g00_2,2026-01-02,H6-306,80,35,CI2003(35),0.4375
02/01/2026_09g30_1,2026-01-02,B4-403,60,59,"MA3019(21), MA2033(15), AS3093(13), MA4139(10)",0.9833333333333333
02/01/2026_09g30_1,2026-01-02,B4-305,80,3,AS2049(3),0.0375
02/01/2026_09g30_2,2026-01-02,H6-311,135,126,"GE3137(46), GE2053(40), MA2033(40)",0.9333333333333333
02/01/2026_09g30_2,2026-01-02,H6-211,126,120,"MA2033(40), ME4615(40), ME2113(40)",0.9523809523809523
02/01/2026_09g30_2,2026-01-02,H6-212,80,78,"MA2033(40), GE2053(38)",0.975
02/01/2026_09g30_2,2026-01-02,H6-213,80,74,"MA2033(37), ME2065(37)",0.925
02/01/2026_09g30_2,2026-01-02,H6-305,129,129,"GE2065(30), ME2113(29), ME4615(29), EN3207(28), CO3033(13)",1.0
02/01/2026_09g30_2,2026-01-02,H6-310,80,68,"MA4125(26), TR4021(22), MA2033(20)",0.85
02/01/2026_09g30_2,2026-01-02,H6-208,117,33,"ME2065(18), IM4001(15)",0.28205128205128205
02/01/2026_13g00_1,2026-01-02,B4-406,108,103,"AS1003(45), ME2089(44), EE2035(14)",0.9537037037037037
02/01/2026_13g00_1,2026-01-02,B4-305,80,73,"IM3047(41), CH3351(32)",0.9125
02/01/2026_13g00_1,2026-01-02,B4-402,60,60,"EE2035(31), ME2089(29)",1.0
02/01/2026_13g00_1,2026-01-02,B8-301,66,60,"CH3341(30), IM3047(30)",0.9090909090909091
02/01/2026_13g00_1,2026-01-02,B4-501,80,69,"ME2089(30), IM3047(26), CH3341(13)",0.8625
02/01/2026_13g00_1,2026-01-02,B4-502,80,42,"ME2089(30), CO3067(12)",0.525
02/01/2026_13g00_2,2026-01-02,H6-308,144,141,"CI4145(50), CO3067(49), CH3341(42)",0.9791666666666666
02/01/2026_13g00_2,2026-01-02,H6-305,129,122,"ME2089(41), IM3047(41), AS1003(40)",0.9457364341085271
02/01/2026_13g00_2,2026-01-02,H6-412,123,121,"ME2089(41), IM3047(40), EE2035(40)",0.983739837398374
02/01/2026_13g00_2,2026-01-02,H6-311,135,121,"ME2089(41), IM3047(40), EE2035(40)",0.8962962962962963
02/01/2026_13g00_2,2026-01-02,H6-310,80,80,"ME2089(40), IM3047(40)",1.0
02/01/2026_13g00_2,2026-01-02,H6-212,80,80,"IM3047(40), ME2089(40)",1.0
02/01/2026_13g00_2,2026-01-02,H6-211,126,120,"IM3047(40), ME2089(40), CH3351(40)",0.9523809523809523
02/01/2026_13g00_2,2026-01-02,H6-210,80,80,"IM3047(40), ME2089(40)",1.0
02/01/2026_13g00_2,2026-01-02,H6-208,117,117,"IM3047(40), EE2035(40), ME2089(37)",1.0
02/01/2026_13g00_2,2026-01-02,H6-205,117,117,"IM3047(40), AS1003(39), ME2089(38)",1.0
02/01/2026_13g00_2,2026-01-02,H6-113,129,118,"IM3047(40), EE2035(39), PH2001(39)",0.9147286821705426
02/01/2026_13g00_2,2026-01-02,H6-506,105,89,"EE2035(25), CH3351(24), IU3067(20), PH2001(20)",0.8476190476190476
02/01/2026_13g00_2,2026-01-02,H6-112,80,19,AS1003(19),0.2375
02/01/2026_15g30_1,2026-01-02,B4-306,80,35,CO3061(35),0.4375
02/01/2026_15g30_1,2026-01-02,B4-303,60,30,CO3061(30),0.5
02/01/2026_15g30_1,2026-01-02,B4-305,80,30,CO3061(30),0.375
02/01/2026_15g30_1,2026-01-02,B4-301,60,22,CO3061(22),0.36666666666666664
02/01/2026_15g30_1,2026-01-02,B4-302,60,19,CO3061(19),0.31666666666666665
02/01/2026_15g30_2,2026-01-02,H6-109,80,40,CO3061(40),0.5
02/01/2026_15g30_2,2026-01-02,H6-110,80,40,CO3061(40),0.5
02/01/2026_15g30_2,2026-01-02,H6-112,80,40,CO3061(40),0.5
02/01/2026_15g30_2,2026-01-02,H6-113,129,40,CO3061(40),0.31007751937984496
02/01/2026_18g15_1,2026-01-02,B4-406,108,101,"CO5175(41), CO5111(30), CH5711(30)",0.9351851851851852
02/01/2026_18g15_1,2026-01-02,B4-302,60,56,"CH5711(28), CH5747(28)",0.9333333333333333
02/01/2026_18g15_1,2026-01-02,B4-301,60,28,"CI5777(16), MA5071(12)",0.4666666666666667
03/01/2026_07g00_1,2026-01-03,B4-305,80,80,"MT1013(39), CO4033(30), EE3189(11)",1.0
03/01/2026_07g00_1,2026-01-03,B6-302,60,60,"CO5097(30), MT1013(30)",1.0
03/01/2026_07g00_1,2026-01-03,B6-303,60,57,"CO5097(30), IM4003(27)",0.95
03/01/2026_07g00_1,2026-01-03,B6-306,80,79,"CO5097(30), CI5239(26), TR4057(18), EE3035(5)",0.9875
03/01/2026_07g00_1,2026-01-03,B4-302,60,57,"ME3005(25), CO5097(17), CH3131(15)",0.95
03/01/2026_07g00_1,2026-01-03,B4-301,60,54,"ME3005(15), AS3031(13), MA2037(10), MA4065(7), EN5075(5), ME5091(4)",0.9
03/01/2026_07g00_2,2026-01-03,H6-412,123,123,"EE3035(58), IM4003(54), CH4063(11)",1.0
03/01/2026_07g00_2,2026-01-03,H6-208,117,117,"IU2031(51), GE4091(50), CI4159(16)",1.0
03/01/2026_07g00_2,2026-01-03,H6-205,117,117,"IU2031(43), IM4003(41), EE3101(32), GE3203(1)",1.0
03/01/2026_07g00_2,2026-01-03,H6-311,135,120,"CI3237(40), CO4033(40), CH3131(40)",0.8888888888888888
03/01/2026_07g00_2,2026-01-03,H6-110,80,80,"IM4003(40), EN2065(40)",1.0
03/01/2026_07g00_2,2026-01-03,H6-212,80,79,"EN2065(40), AS3031(39)",0.9875
03/01/2026_07g00_2,2026-01-03,H6-206,80,78,"IU2031(39), EN2065(39)",0.975
03/01/2026_07g00_2,2026-01-03,H6-312,80,76,"CH4107(38), CH3131(38)",0.95
03/01/2026_07g00_2,2026-01-03,H6-305,129,128,"MA4065(36), ME3005(35), TR3039(32), EN3211(25)",0.9922480620155039
03/01/2026_07g00_2,2026-01-03,H6-306,80,68,"MA4065(28), CI3237(20), CO4033(20)",0.85
03/01/2026_09g30_1,2026-01-03,B4-505,120,40,SP1035(40),0.3333333333333333
03/01/2026_09g30_1,2026-01-03,B4-406,108,38,SP1035(38),0.35185185185185186
03/01/2026_09g30_1,2026-01-03,B4-305,80,31,SP1035(31),0.3875
03/01/2026_09g30_1,2026-01-03,B4-302,60,30,SP1035(30),0.5
03/01/2026_09g30_1,2026-01-03,B4-504,60,30,SP1035(30),0.5
03/01/2026_09g30_1,2026-01-03,B4-502,80,30,SP1035(30),0.375
03/01/2026_09g30_1,2026-01-03,B4-501,80,30,SP1035(30),0.375
03/01/2026_09g30_1,2026-01-03,B4-405,60,30,SP1035(30),0.5
