F_MAMH,F_TENPHMOI,NGAYTHI,GIOTHI_BD,COSO,F_SOLUONG,SUC_CHUA,KEY_CA
CO3057,C6-403,46006,07g00,1,30,80,15/12/2025_07g00_1
CO3057,C6-603,46006,07g00,1,23,48,15/12/2025_07g00_1
EE3093,C6-401,46006,07g00,1,36,80,15/12/2025_07g00_1
EE3093,C6-402,46006,07g00,1,30,80,15/12/2025_07g00_1
IM3055,B1-210,46006,07g00,1,16,48,15/12/2025_07g00_1
MT2009,B1-213,46006,07g00,1,30,72,15/12/2025_07g00_1
MT2009,B6-302,46006,07g00,1,32,60,15/12/2025_07g00_1
MT2009,B6-303,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2009,B6-304,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2009,B6-305,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2009,B6-306,46006,07g00,1,34,80,15/12/2025_07g00_1
MT2013,B1-208,46006,07g00,1,30,84,15/12/2025_07g00_1
MT2013,B1-212,46006,07g00,1,31,72,15/12/2025_07g00_1
MT2013,B1-301,46006,07g00,1,24,56,15/12/2025_07g00_1
MT2013,B1-302,46006,07g00,1,29,56,15/12/2025_07g00_1
MT2013,B1-303,46006,07g00,1,30,56,15/12/2025_07g00_1
MT2013,B1-305,46006,07g00,1,30,72,15/12/2025_07g00_1
MT2013,B1-306,46006,07g00,1,30,84,15/12/2025_07g00_1
MT2013,B1-308,46006,07g00,1,30,72,15/12/2025_07g00_1
MT2013,B1-309,46006,07g00,1,29,56,15/12/2025_07g00_1
MT2013,B1-311,46006,07g00,1,30,80,15/12/2025_07g00_1
MT2013,B1-313,46006,07g00,1,30,56,15/12/2025_07g00_1
MT2013,B1-314,46006,07g00,1,30,56,15/12/2025_07g00_1
MT2013,B1-315,46006,07g00,1,30,56,15/12/2025_07g00_1
MT2013,B4-301,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2013,B4-302,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2013,B4-303,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2013,B4-305,46006,07g00,1,42,80,15/12/2025_07g00_1
MT2013,B4-306,46006,07g00,1,40,80,15/12/2025_07g00_1
MT2013,B4-401,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2013,B4-402,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2013,B4-403,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2013,B4-405,46006,07g00,1,29,60,15/12/2025_07g00_1
MT2013,B4-406,46006,07g00,1,42,108,15/12/2025_07g00_1
MT2013,B4-501,46006,07g00,1,29,80,15/12/2025_07g00_1
MT2013,B4-502,46006,07g00,1,30,80,15/12/2025_07g00_1
MT2013,B4-504,46006,07g00,1,30,60,15/12/2025_07g00_1
MT2013,B4-505,46006,07g00,1,42,120,15/12/2025_07g00_1
MT2013,B6-301,46006,07g00,1,22,50,15/12/2025_07g00_1
MT2013,B8-301,46006,07g00,1,30,66,15/12/2025_07g00_1
MT2013,B8-303,46006,07g00,1,30,62,15/12/2025_07g00_1
MT2013,B8-304,46006,07g00,1,29,62,15/12/2025_07g00_1
AS3055,B4-504,46006,09g30,1,17,60,15/12/2025_09g30_1
CH3399,B1-211,46006,09g30,1,15,32,15/12/2025_09g30_1
EE2405,B1-305,46006,09g30,1,36,72,15/12/2025_09g30_1
EE2405,B1-306,46006,09g30,1,40,84,15/12/2025_09g30_1
EE2405,B1-308,46006,09g30,1,30,72,15/12/2025_09g30_1
EE2405,B1-309,46006,09g30,1,30,56,15/12/2025_09g30_1
EE2405,B1-313,46006,09g30,1,30,56,15/12/2025_09g30_1
EE2405,B1-314,46006,09g30,1,30,56,15/12/2025_09g30_1
EE2405,B1-315,46006,09g30,1,30,56,15/12/2025_09g30_1
IM1029,B4-301,46006,09g30,1,30,60,15/12/2025_09g30_1
IM1029,B4-302,46006,09g30,1,30,60,15/12/2025_09g30_1
IM1029,B4-303,46006,09g30,1,30,60,15/12/2025_09g30_1
IM1029,B4-305,46006,09g30,1,30,80,15/12/2025_09g30_1
IM3101,B4-402,46006,09g30,1,27,60,15/12/2025_09g30_1
MA2035,B4-405,46006,09g30,1,18,60,15/12/2025_09g30_1
MA3145,B4-401,46006,09g30,1,23,60,15/12/2025_09g30_1
MA3153,B1-310,46006,09g30,1,9,32,15/12/2025_09g30_1
MA4185,B4-501,46006,09g30,1,7,80,15/12/2025_09g30_1
TR4073,B4-403,46006,09g30,1,28,60,15/12/2025_09g30_1
CI4161,B4-502,46006,13g00,1,30,80,15/12/2025_13g00_1
CH2035,B4-305,46006,13g00,1,34,80,15/12/2025_13g00_1
CH3347,B4-403,46006,13g00,1,20,60,15/12/2025_13g00_1
IM1021,B4-301,46006,13g00,1,15,60,15/12/2025_13g00_1
IM1021,B4-302,46006,13g00,1,22,60,15/12/2025_13g00_1
IM1021,B4-306,46006,13g00,1,30,80,15/12/2025_13g00_1
IM1021,B4-401,46006,13g00,1,30,60,15/12/2025_13g00_1
IM1021,B4-402,46006,13g00,1,30,60,15/12/2025_13g00_1
IM1021,B4-405,46006,13g00,1,19,60,15/12/2025_13g00_1
ME4137,B4-303,46006,13g00,1,17,60,15/12/2025_13g00_1
CO3011,B4-302,46006,15g30,1,24,60,15/12/2025_15g30_1
CO3011,B4-303,46006,15g30,1,30,60,15/12/2025_15g30_1
CI2135,B4-501,46007,07g00,1,22,80,16/12/2025_07g00_1
CO3007,B4-405,46007,07g00,1,13,60,16/12/2025_07g00_1
CO3007,B4-406,46007,07g00,1,45,108,16/12/2025_07g00_1
EE5013,B4-504,46007,07g00,1,11,60,16/12/2025_07g00_1
ME2113,B4-505,46007,07g00,1,47,120,16/12/2025_07g00_1
ME2113,B6-304,46007,07g00,1,30,60,16/12/2025_07g00_1
ME5003,B4-502,46007,07g00,1,14,80,16/12/2025_07g00_1
MT2007,B4-301,46007,07g00,1,30,60,16/12/2025_07g00_1
MT2007,B4-302,46007,07g00,1,30,60,16/12/2025_07g00_1
MT2007,B4-303,46007,07g00,1,30,60,16/12/2025_07g00_1
MT2007,B4-305,46007,07g00,1,30,80,16/12/2025_07g00_1
MT2007,B4-306,46007,07g00,1,40,80,16/12/2025_07g00_1
MT2007,B4-402,46007,07g00,1,21,60,16/12/2025_07g00_1
MT2007,B4-403,46007,07g00,1,28,60,16/12/2025_07g00_1
TR5005,B4-401,46007,07g00,1,18,60,16/12/2025_07g00_1
CO3059,B4-402,46007,09g30,1,20,60,16/12/2025_09g30_1
LA2017,B4-403,46007,09g30,1,26,60,16/12/2025_09g30_1
LA2017,B4-405,46007,09g30,1,30,60,16/12/2025_09g30_1
LA2017,B4-406,46007,09g30,1,41,108,16/12/2025_09g30_1
