KEY,DATE_ONLY,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED,UTILIZATION
02/01/2026_07g00_1,2026-01-02,CS1,B5-GD,130,127,"EE2081(44), CH2003(43), CO2011(40)",0.9769230769230769
02/01/2026_07g00_1,2026-01-02,CS1,B1-311,80,74,"CH2003(39), CO2011(35)",0.925
02/01/2026_07g00_1,2026-01-02,CS1,C4-402,80,67,"TR3001(34), EE2015(33)",0.8375
02/01/2026_07g00_1,2026-01-02,CS1,B8-301,66,63,"CI2003(32), CH2003(31)",0.9545454545454546
02/01/2026_07g00_1,2026-01-02,CS1,B10-203,70,62,"CH4101(31), EE2081(31)",0.8857142857142857
02/01/2026_07g00_1,2026-01-02,CS1,C6-102,100,90,"CI1003(30), CI2003(30), CO2011(30)",0.9
02/01/2026_07g00_1,2026-01-02,CS1,B4-302,60,60,"CO2011(30), CH2003(30)",1.0
02/01/2026_07g00_1,2026-01-02,CS1,B4-303,60,60,"CO2011(30), CH2003(30)",1.0
02/01/2026_07g00_1,2026-01-02,CS1,B4-305,80,79,"CO2011(30), CH2003(30), EE2081(19)",0.9875
02/01/2026_07g00_1,2026-01-02,CS1,B4-306,80,79,"CO2011(30), EE2015(30), EE2081(19)",0.9875
02/01/2026_07g00_1,2026-01-02,CS1,B4-401,60,60,"CO2011(30), EE2081(30)",1.0
02/01/2026_07g00_1,2026-01-02,CS1,B4-402,60,60,"CO2011(30), EE2081(30)",1.0
02/01/2026_07g00_1,2026-01-02,CS1,B4-501,80,74,"CO2011(30), EE2081(30), CI1003(14)",0.925
02/01/2026_07g00_1,2026-01-02,CS1,B4-502,80,60,"CO2011(30), EE2081(30)",0.75
02/01/2026_07g00_1,2026-01-02,CS1,B6-302,60,60,"CO2011(30), EE2081(30)",1.0
02/01/2026_07g00_1,2026-01-02,CS1,B6-306,80,60,"CO2011(30), EE3089(30)",0.75
02/01/2026_07g00_1,2026-01-02,CS1,B9-201,60,60,"ME4133(30), TR3001(30)",1.0
02/01/2026_07g00_1,2026-01-02,CS1,B8-304,62,58,"CI2003(29), CO2011(29)",0.9354838709677419
02/01/2026_07g00_1,2026-01-02,CS1,B1-303,56,53,"CH2003(29), EE3117(24)",0.9464285714285714
02/01/2026_07g00_1,2026-01-02,CS1,B6-305,60,57,"EE3089(29), CO2011(28)",0.95
02/01/2026_07g00_1,2026-01-02,CS1,B4-504,60,51,"CH2003(28), CI2003(23)",0.85
02/01/2026_07g00_1,2026-01-02,CS1,C4-302,50,43,"EE2015(22), ME4133(21)",0.86
02/01/2026_07g00_1,2026-01-02,CS1,C4-401,50,41,"TR3001(21), CO2011(20)",0.82
02/01/2026_07g00_1,2026-01-02,CS1,B6-301,50,19,CO2011(19),0.38
02/01/2026_07g00_2,2026-01-02,CS2,H6-GD,250,250,"CH2003(50), ME4133(46), EE2015(44), CO2011(42), CH4101(41), EE3017(27)",1.0
02/01/2026_07g00_2,2026-01-02,CS2,H3-306,142,128,"CH2003(46), EE2015(42), CI2003(40)",0.9014084507042254
02/01/2026_07g00_2,2026-01-02,CS2,H6-110,80,80,"CI2003(40), CO2011(40)",1.0
02/01/2026_07g00_2,2026-01-02,CS2,H6-113,129,120,"CI2003(40), CO2011(40), CH2003(40)",0.9302325581395349
02/01/2026_07g00_2,2026-01-02,CS2,H6-201,120,120,"CI2003(40), CO2011(40), CH2003(40)",1.0
02/01/2026_07g00_2,2026-01-02,CS2,H6-205,117,117,"CI2003(40), CO2011(40), EE2081(37)",1.0
02/01/2026_07g00_2,2026-01-02,CS2,H6-211,126,120,"CI2003(40), CO2011(40), CH2003(40)",0.9523809523809523
02/01/2026_07g00_2,2026-01-02,CS2,H6-305,129,120,"CI2003(40), CO2011(40), CH4101(40)",0.9302325581395349
02/01/2026_07g00_2,2026-01-02,CS2,H6-311,135,120,"CI2003(40), CO2011(40), EE2015(40)",0.8888888888888888
02/01/2026_07g00_2,2026-01-02,CS2,H6-405,120,120,"CI2003(40), CO2011(40), EE2015(40)",1.0
02/01/2026_07g00_2,2026-01-02,CS2,H6-412,123,120,"CI2003(40), CO2011(40), EE2015(40)",0.975609756097561
