DATE_ONLY,KEY,CAMPUS,ROOMS_BEFORE,ROOMS_AFTER,ROOMS_SAVED
2026-01-02,02/01/2026_07g00_1,CS1,52,24,28
2026-01-02,02/01/2026_07g00_2,CS2,71,26,45
2026-01-02,02/01/2026_09g30_1,CS1,5,1,4
2026-01-02,02/01/2026_09g30_2,CS2,20,5,15
2026-01-02,02/01/2026_13g00_1,CS1,14,6,8
2026-01-02,02/01/2026_13g00_2,CS2,35,12,23
2026-01-02,02/01/2026_15g30_1,CS1,5,5,0
2026-01-02,02/01/2026_15g30_2,CS2,4,4,0
2026-01-02,02/01/2026_18g15_1,CS1,7,2,5
2026-01-03,03/01/2026_07g00_1,CS1,20,6,14
2026-01-03,03/01/2026_07g00_2,CS2,28,9,19
2026-01-03,03/01/2026_09g30_1,CS1,27,27,0
2026-01-03,03/01/2026_09g30_2,CS2,39,39,0
2026-01-03,03/01/2026_13g00_1,CS1,11,4,7
2026-01-03,03/01/2026_13g00_2,CS2,14,6,8
2026-01-03,03/01/2026_15g30_1,CS1,2,2,0
2026-01-03,03/01/2026_15g30_2,CS2,3,3,0
2026-01-04,04/01/2026_07g00_1,CS1,33,12,21
2026-01-04,04/01/2026_07g00_2,CS2,50,22,28
2026-01-04,04/01/2026_09g30_1,CS1,15,5,10
2026-01-04,04/01/2026_09g30_2,CS2,4,4,0
2026-01-04,04/01/2026_13g00_1,CS1,20,8,12
2026-01-04,04/01/2026_13g00_2,CS2,38,14,24
2026-01-04,04/01/2026_15g30_1,CS1,6,4,2
2025-12-15,15/12/2025_07g00_1,CS1,42,31,11
2025-12-15,15/12/2025_07g00_2,CS2,71,64,7
2025-12-15,15/12/2025_09g30_1,CS1,19,8,11
2025-12-15,15/12/2025_09g30_2,CS2,13,5,8
2025-12-15,15/12/2025_13g00_1,CS1,10,6,4
2025-12-15,15/12/2025_13g00_2,CS2,24,14,10
2025-12-15,15/12/2025_15g30_1,CS1,2,2,0
2025-12-15,15/12/2025_15g30_2,CS2,3,3,0
2025-12-16,16/12/2025_07g00_1,CS1,15,7,8
