KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED
02/01/2026_07g00_1,,07g00,CS1,B5-GD,130,127,"EE2081(44), CH2003(43), CO2011(40)"
02/01/2026_07g00_1,,07g00,CS1,B1-311,42,39,CH2003(39)
02/01/2026_07g00_1,,07g00,CS1,B4-406,57,57,"CO2011(35), EE2015(22)"
02/01/2026_07g00_1,,07g00,CS1,C4-402,42,34,TR3001(34)
02/01/2026_07g00_1,,07g00,CS1,C4-301,42,33,EE2015(33)
02/01/2026_07g00_1,,07g00,CS1,B8-301,35,32,CI2003(32)
02/01/2026_07g00_1,,07g00,CS1,B1-305,38,31,CH2003(31)
02/01/2026_07g00_1,,07g00,CS1,B10-203,37,31,CH4101(31)
02/01/2026_07g00_1,,07g00,CS1,B1-212,38,31,EE2081(31)
02/01/2026_07g00_1,,07g00,CS1,C6-102,50,50,"CI1003(30), CO2011(20)"
02/01/2026_07g00_1,,07g00,CS1,B8-303,33,30,CI2003(30)
02/01/2026_07g00_1,,07g00,CS1,B4-301,32,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-302,32,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-303,32,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-305,42,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-306,42,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-401,32,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-402,32,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-501,42,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B4-502,42,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B6-302,32,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B6-306,42,30,CO2011(30)
02/01/2026_07g00_1,,07g00,CS1,B1-301,30,30,CH2003(30)
02/01/2026_07g00_1,,07g00,CS1,B1-302,30,30,CH2003(30)
02/01/2026_07g00_1,,07g00,CS1,B1-308,38,30,CH2003(30)
02/01/2026_07g00_1,,07g00,CS1,C4-304,42,30,EE2015(30)
02/01/2026_07g00_1,,07g00,CS1,B1-213,38,30,EE2081(30)
02/01/2026_07g00_1,,07g00,CS1,B1-309,30,30,EE2081(30)
02/01/2026_07g00_1,,07g00,CS1,B1-313,30,30,EE2081(30)
02/01/2026_07g00_1,,07g00,CS1,B1-314,30,30,EE2081(30)
02/01/2026_07g00_1,,07g00,CS1,B1-315,30,30,EE2081(30)
02/01/2026_07g00_1,,07g00,CS1,B6-304,32,30,EE3089(30)
02/01/2026_07g00_1,,07g00,CS1,B9-201,32,30,ME4133(30)
02/01/2026_07g00_1,,07g00,CS1,C4-403,42,30,TR3001(30)
02/01/2026_07g00_1,,07g00,CS1,B8-304,33,29,CI2003(29)
02/01/2026_07g00_1,,07g00,CS1,B4-403,32,29,CO2011(29)
02/01/2026_07g00_1,,07g00,CS1,B1-303,30,29,CH2003(29)
02/01/2026_07g00_1,,07g00,CS1,B6-305,32,29,EE3089(29)
02/01/2026_07g00_1,,07g00,CS1,B6-303,32,28,CO2011(28)
02/01/2026_07g00_1,,07g00,CS1,B4-504,32,28,CH2003(28)
02/01/2026_07g00_1,,07g00,CS1,B1-215,25,24,EE3117(24)
02/01/2026_07g00_1,,07g00,CS1,B9-203,26,23,CI2003(23)
02/01/2026_07g00_1,,07g00,CS1,B9-202,28,21,ME4133(21)
02/01/2026_07g00_1,,07g00,CS1,C4-401,26,21,TR3001(21)
02/01/2026_07g00_1,,07g00,CS1,B6-301,26,19,CO2011(19)
02/01/2026_07g00_1,,07g00,CS1,B1-210,25,19,EE2081(19)
02/01/2026_07g00_1,,07g00,CS1,B1-214,25,19,EE2081(19)
02/01/2026_07g00_1,,07g00,CS1,C6-103,50,14,CI1003(14)
02/01/2026_07g00_2,,07g00,CS2,H6-GD,250,250,"CH2003(50), ME4133(46), EE2015(44), CO2011(42), CH4101(41), EE3017(27)"
02/01/2026_07g00_2,,07g00,CS2,H3-306,75,72,"CH2003(46), EE3089(26)"
02/01/2026_07g00_2,,07g00,CS2,H3-406,75,65,"EE2015(42), EE2081(23)"
02/01/2026_07g00_2,,07g00,CS2,H6-109,42,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H6-110,42,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H6-113,68,60,"CI2003(40), EE3117(20)"
02/01/2026_07g00_2,,07g00,CS2,H6-201,63,58,"CI2003(40), TR3001(18)"
02/01/2026_07g00_2,,07g00,CS2,H6-205,62,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H6-211,66,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H6-305,68,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H6-311,71,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H6-405,63,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H6-412,65,40,CI2003(40)
02/01/2026_07g00_2,,07g00,CS2,H2-202,62,40,CO2011(40)
02/01/2026_07g00_2,,07g00,CS2,H2-205,62,40,CO2011(40)
02/01/2026_07g00_2,,07g00,CS2,H2-206,82,80,"CO2011(40), CH2003(40)"
02/01/2026_07g00_2,,07g00,CS2,H2-207,71,40,CO2011(40)
02/01/2026_07g00_2,,07g00,CS2,H2-301,82,80,"CO2011(40), CH2003(40)"
02/01/2026_07g00_2,,07g00,CS2,H2-304,49,40,CO2011(40)
02/01/2026_07g00_2,,07g00,CS2,H2-306,82,80,"CO2011(40), CH2003(40)"
02/01/2026_07g00_2,,07g00,CS2,H2-307,62,40,CO2011(40)
02/01/2026_07g00_2,,07g00,CS2,H2-401,82,80,"CO2011(40), CH4101(40)"
02/01/2026_07g00_2,,07g00,CS2,H2-403,49,40,CO2011(40)
02/01/2026_07g00_2,,07g00,CS2,H2-404,49,40,CO2011(40)
02/01/2026_07g00_2,,07g00,CS2,H3-403,46,40,EE2015(40)
02/01/2026_07g00_2,,07g00,CS2,H3-404,46,40,EE2015(40)
02/01/2026_07g00_2,,07g00,CS2,H3-501,75,75,"EE2015(40), CI2003(35)"
02/01/2026_07g00_2,,07g00,CS2,H3-503,46,40,EE2015(40)
02/01/2026_07g00_2,,07g00,CS2,H6-308,76,76,"EE2081(40), CI2003(36)"
02/01/2026_07g00_2,,07g00,CS2,H6-504,56,40,EE2081(40)
02/01/2026_07g00_2,,07g00,CS2,H6-506,55,40,EE2081(40)
02/01/2026_07g00_2,,07g00,CS2,H6-516,60,40,EE2081(40)
02/01/2026_07g00_2,,07g00,CS2,H6-802,63,40,EE2081(40)
02/01/2026_07g00_2,,07g00,CS2,H6-810,63,40,EE2081(40)
02/01/2026_07g00_2,,07g00,CS2,H6-811,79,79,"EE2081(40), CI2003(39)"
02/01/2026_07g00_2,,07g00,CS2,H1-101,73,40,EE3117(40)
02/01/2026_07g00_2,,07g00,CS2,H1-104,73,40,TR3001(40)
02/01/2026_07g00_2,,07g00,CS2,H6-208,62,39,CI2003(39)
02/01/2026_07g00_2,,07g00,CS2,H2-302,62,39,CO2011(39)
02/01/2026_07g00_2,,07g00,CS2,H6-206,42,38,CI2003(38)
02/01/2026_07g00_2,,07g00,CS2,H3-205,56,38,CH2003(38)
02/01/2026_07g00_2,,07g00,CS2,H6-510,54,38,EE2081(38)
02/01/2026_07g00_2,,07g00,CS2,H6-210,42,37,CI2003(37)
02/01/2026_07g00_2,,07g00,CS2,H6-212,42,37,CI2003(37)
02/01/2026_07g00_2,,07g00,CS2,H6-213,42,37,CI2003(37)
02/01/2026_07g00_2,,07g00,CS2,H6-512,55,37,EE2081(37)
02/01/2026_07g00_2,,07g00,CS2,H6-514,57,37,EE2081(37)
02/01/2026_07g00_2,,07g00,CS2,H6-310,42,36,CI2003(36)
02/01/2026_07g00_2,,07g00,CS2,H6-312,42,36,CI2003(36)
02/01/2026_07g00_2,,07g00,CS2,H6-313,42,36,CI2003(36)
02/01/2026_07g00_2,,07g00,CS2,H6-415,42,36,EE2081(36)
02/01/2026_07g00_2,,07g00,CS2,H6-411,42,35,CI2003(35)
02/01/2026_07g00_2,,07g00,CS2,H6-413,42,35,CI2003(35)
02/01/2026_07g00_2,,07g00,CS2,H6-414,42,34,CI2003(34)
02/01/2026_07g00_2,,07g00,CS2,H3-206,36,34,CH2003(34)
02/01/2026_09g30_1,,09g30,CS1,B5-GD,130,62,"MA3019(21), MA2033(15), AS3093(13), MA4139(10), AS2049(3)"
02/01/2026_09g30_2,,09g30,CS2,H6-GD,250,243,"GE3137(46), GE2053(40), MA2033(40), ME2113(40), ME4615(40), ME2065(37)"
02/01/2026_09g30_2,,09g30,CS2,H6-211,66,66,"MA2033(40), MA4125(26)"
02/01/2026_09g30_2,,09g30,CS2,H6-212,42,40,MA2033(40)
02/01/2026_09g30_2,,09g30,CS2,H6-110,42,38,GE2053(38)
02/01/2026_09g30_2,,09g30,CS2,H6-213,42,37,MA2033(37)
02/01/2026_09g30_2,,09g30,CS2,H6-305,68,59,"GE2065(30), ME2113(29)"
02/01/2026_09g30_2,,09g30,CS2,H6-206,42,42,"ME4615(29), CO3033(13)"
02/01/2026_09g30_2,,09g30,CS2,H6-306,42,28,EN3207(28)
02/01/2026_09g30_2,,09g30,CS2,H6-312,42,42,"TR4021(22), MA2033(20)"
02/01/2026_09g30_2,,09g30,CS2,H6-208,62,33,"ME2065(18), IM4001(15)"
02/01/2026_13g00_1,,13g00,CS1,B5-GD,130,130,"AS1003(45), ME2089(44), IM3047(41)"
02/01/2026_13g00_1,,13g00,CS1,B4-306,42,32,CH3351(32)
02/01/2026_13g00_1,,13g00,CS1,B4-402,32,31,EE2035(31)
02/01/2026_13g00_1,,13g00,CS1,B8-301,35,30,CH3341(30)
02/01/2026_13g00_1,,13g00,CS1,B4-303,32,30,IM3047(30)
02/01/2026_13g00_1,,13g00,CS1,B4-501,42,42,"ME2089(30), CO3067(12)"
02/01/2026_13g00_1,,13g00,CS1,B4-502,42,30,ME2089(30)
02/01/2026_13g00_1,,13g00,CS1,B4-504,32,29,ME2089(29)
02/01/2026_13g00_1,,13g00,CS1,B4-302,32,26,IM3047(26)
02/01/2026_13g00_1,,13g00,CS1,B4-401,32,27,"EE2035(14), CH3341(13)"
02/01/2026_13g00_2,,13g00,CS2,H6-GD,250,248,"CI4145(50), CO3067(49), CH3341(42), IM3047(41), ME2089(41), EE2035(25)"
02/01/2026_13g00_2,,13g00,CS2,H6-311,71,65,"ME2089(41), CH3351(24)"
02/01/2026_13g00_2,,13g00,CS2,H6-412,65,61,"ME2089(41), IU3067(20)"
02/01/2026_13g00_2,,13g00,CS2,H6-110,42,40,AS1003(40)
02/01/2026_13g00_2,,13g00,CS2,H6-413,42,40,CH3351(40)
02/01/2026_13g00_2,,13g00,CS2,H6-510,54,40,EE2035(40)
02/01/2026_13g00_2,,13g00,CS2,H6-512,55,40,EE2035(40)
02/01/2026_13g00_2,,13g00,CS2,H6-516,60,60,"EE2035(40), PH2001(20)"
02/01/2026_13g00_2,,13g00,CS2,H6-113,68,59,"IM3047(40), AS1003(19)"
02/01/2026_13g00_2,,13g00,CS2,H6-205,62,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-206,42,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-208,62,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-210,42,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-211,66,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-212,42,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-213,42,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-214,42,40,IM3047(40)
02/01/2026_13g00_2,,13g00,CS2,H6-306,42,40,ME2089(40)
02/01/2026_13g00_2,,13g00,CS2,H6-310,42,40,ME2089(40)
02/01/2026_13g00_2,,13g00,CS2,H6-312,42,40,ME2089(40)
02/01/2026_13g00_2,,13g00,CS2,H6-405,63,40,ME2089(40)
02/01/2026_13g00_2,,13g00,CS2,H6-109,42,39,AS1003(39)
02/01/2026_13g00_2,,13g00,CS2,H6-514,57,39,EE2035(39)
02/01/2026_13g00_2,,13g00,CS2,H6-811,79,77,"PH2001(39), ME2089(38)"
02/01/2026_13g00_2,,13g00,CS2,H6-411,42,37,ME2089(37)
02/01/2026_15g30_1,,15g30,CS1,B5-GD,130,35,CO3061(35)
02/01/2026_15g30_1,,15g30,CS1,B4-303,32,30,CO3061(30)
02/01/2026_15g30_1,,15g30,CS1,B4-305,42,30,CO3061(30)
02/01/2026_15g30_1,,15g30,CS1,B4-301,32,22,CO3061(22)
02/01/2026_15g30_1,,15g30,CS1,B4-302,32,19,CO3061(19)
02/01/2026_15g30_2,,15g30,CS2,H6-GD,250,40,CO3061(40)
02/01/2026_15g30_2,,15g30,CS2,H6-110,42,40,CO3061(40)
02/01/2026_15g30_2,,15g30,CS2,H6-112,42,40,CO3061(40)
02/01/2026_15g30_2,,15g30,CS2,H6-113,68,40,CO3061(40)
02/01/2026_18g15_1,,18g15,CS1,B5-GD,130,129,"CO5175(41), CO5111(30), CH5711(30), CH5747(28)"
02/01/2026_18g15_1,,18g15,CS1,B4-302,32,28,CH5711(28)
02/01/2026_18g15_1,,18g15,CS1,B4-301,32,28,"CI5777(16), MA5071(12)"
03/01/2026_07g00_1,,07g00,CS1,B5-GD,130,130,"MT1013(39), CO4033(30), CO5097(30), IM4003(27), ME5091(4)"
03/01/2026_07g00_1,,07g00,CS1,B6-303,32,30,CO5097(30)
03/01/2026_07g00_1,,07g00,CS1,B6-306,42,41,"CO5097(30), EE3189(11)"
03/01/2026_07g00_1,,07g00,CS1,B4-303,32,30,MT1013(30)
03/01/2026_07g00_1,,07g00,CS1,B4-406,57,56,"CI5239(26), ME3005(25), EE3035(5)"
03/01/2026_07g00_1,,07g00,CS1,B4-403,32,31,"TR4057(18), AS3031(13)"
03/01/2026_07g00_1,,07g00,CS1,B6-304,32,32,"CO5097(17), CH3131(15)"
03/01/2026_07g00_1,,07g00,CS1,B4-301,32,32,"ME3005(15), MA2037(10), MA4065(7)"
03/01/2026_07g00_1,,07g00,CS1,B4-505,63,5,EN5075(5)
03/01/2026_07g00_2,,07g00,CS2,H6-GD,250,250,"EE3035(58), IM4003(54), IU2031(51), GE4091(50), MA4065(36), GE3203(1)"
03/01/2026_07g00_2,,07g00,CS2,H6-205,62,59,"IU2031(43), CI4159(16)"
03/01/2026_07g00_2,,07g00,CS2,H6-112,42,41,IM4003(41)
03/01/2026_07g00_2,,07g00,CS2,H6-311,71,68,"CI3237(40), MA4065(28)"
03/01/2026_07g00_2,,07g00,CS2,H6-504,56,51,"CO4033(40), CH4063(11)"
03/01/2026_07g00_2,,07g00,CS2,H6-210,42,40,CH3131(40)
03/01/2026_07g00_2,,07g00,CS2,H6-211,66,65,"EN2065(40), EN3211(25)"
03/01/2026_07g00_2,,07g00,CS2,H6-212,42,40,EN2065(40)
03/01/2026_07g00_2,,07g00,CS2,H6-110,42,40,IM4003(40)
03/01/2026_07g00_2,,07g00,CS2,H6-109,42,39,AS3031(39)
03/01/2026_07g00_2,,07g00,CS2,H6-213,42,39,EN2065(39)
03/01/2026_07g00_2,,07g00,CS2,H6-206,42,39,IU2031(39)
03/01/2026_07g00_2,,07g00,CS2,H6-214,42,38,CH3131(38)
03/01/2026_07g00_2,,07g00,CS2,H6-312,42,38,CH4107(38)
03/01/2026_07g00_2,,07g00,CS2,H6-308,76,67,"ME3005(35), EE3101(32)"
03/01/2026_07g00_2,,07g00,CS2,H6-510,54,52,"TR3039(32), CI3237(20)"
03/01/2026_07g00_2,,07g00,CS2,H6-506,55,20,CO4033(20)
03/01/2026_09g30_1,,09g30,CS1,B5-GD,130,40,SP1035(40)
03/01/2026_09g30_1,,09g30,CS1,B4-406,57,38,SP1035(38)
03/01/2026_09g30_1,,09g30,CS1,B4-305,42,31,SP1035(31)
03/01/2026_09g30_1,,09g30,CS1,B1-208,44,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B1-212,38,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B1-213,38,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B1-305,38,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B1-306,44,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B1-309,30,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B1-311,42,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B1-315,30,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-301,32,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-302,32,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-303,32,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-306,42,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-401,32,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-402,32,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-403,32,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-405,32,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-501,42,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-502,42,30,SP1035(30)
03/01/2026_09g30_1,,09g30,CS1,B4-504,32,30,SP1035(30)
