KEY,DATE,TIME,CAMPUS,TARGET ROOM,EXAM CAPACITY,TOTAL STUDENTS,COURSES MERGED,UTILIZATION
02/01/2026_07g00_1,,07g00,CS1,B5-GD,130,127,"EE2081(44), CH2003(43), CO2011(40)",0.9769230769230769
02/01/2026_07g00_1,,07g00,CS1,B1-311,42,39,CH2003(39),0.9285714285714286
02/01/2026_07g00_1,,07g00,CS1,B4-406,57,57,"CO2011(35), EE2015(22)",1.0
02/01/2026_07g00_1,,07g00,CS1,C4-402,42,34,TR3001(34),0.8095238095238095
02/01/2026_07g00_1,,07g00,CS1,C4-301,42,33,EE2015(33),0.7857142857142857
02/01/2026_07g00_1,,07g00,CS1,B8-301,35,32,CI2003(32),0.9142857142857143
02/01/2026_07g00_1,,07g00,CS1,B1-305,38,31,CH2003(31),0.8157894736842105
02/01/2026_07g00_1,,07g00,CS1,B10-203,37,31,CH4101(31),0.8378378378378378
02/01/2026_07g00_1,,07g00,CS1,B1-212,38,31,EE2081(31),0.8157894736842105
02/01/2026_07g00_1,,07g00,CS1,C6-102,50,50,"CI1003(30), CO2011(20)",1.0
02/01/2026_07g00_1,,07g00,CS1,B8-303,33,30,CI2003(30),0.9090909090909091
02/01/2026_07g00_1,,07g00,CS1,B4-301,32,30,CO2011(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,B4-302,32,30,CO2011(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,B4-303,32,30,CO2011(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,B4-305,42,30,CO2011(30),0.7142857142857143
02/01/2026_07g00_1,,07g00,CS1,B4-306,42,30,CO2011(30),0.7142857142857143
02/01/2026_07g00_1,,07g00,CS1,B4-401,32,30,CO2011(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,B4-402,32,30,CO2011(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,B4-501,42,30,CO2011(30),0.7142857142857143
02/01/2026_07g00_1,,07g00,CS1,B4-502,42,30,CO2011(30),0.7142857142857143
02/01/2026_07g00_1,,07g00,CS1,B6-302,32,30,CO2011(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,B6-306,42,30,CO2011(30),0.7142857142857143
02/01/2026_07g00_1,,07g00,CS1,B1-301,30,30,CH2003(30),1.0
02/01/2026_07g00_1,,07g00,CS1,B1-302,30,30,CH2003(30),1.0
02/01/2026_07g00_1,,07g00,CS1,B1-308,38,30,CH2003(30),0.7894736842105263
02/01/2026_07g00_1,,07g00,CS1,C4-304,42,30,EE2015(30),0.7142857142857143
02/01/2026_07g00_1,,07g00,CS1,B1-213,38,30,EE2081(30),0.7894736842105263
02/01/2026_07g00_1,,07g00,CS1,B1-309,30,30,EE2081(30),1.0
02/01/2026_07g00_1,,07g00,CS1,B1-313,30,30,EE2081(30),1.0
02/01/2026_07g00_1,,07g00,CS1,B1-314,30,30,EE2081(30),1.0
02/01/2026_07g00_1,,07g00,CS1,B1-315,30,30,EE2081(30),1.0
02/01/2026_07g00_1,,07g00,CS1,B6-304,32,30,EE3089(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,B9-201,32,30,ME4133(30),0.9375
02/01/2026_07g00_1,,07g00,CS1,C4-403,42,30,TR3001(30),0.7142857142857143
02/01/2026_07g00_1,,07g00,CS1,B8-304,33,29,CI2003(29),0.8787878787878788
02/01/2026_07g00_1,,07g00,CS1,B4-403,32,29,CO2011(29),0.90625
02/01/2026_07g00_1,,07g00,CS1,B1-303,30,29,CH2003(29),0.9666666666666667
02/01/2026_07g00_1,,07g00,CS1,B6-305,32,29,EE3089(29),0.90625
02/01/2026_07g00_1,,07g00,CS1,B6-303,32,28,CO2011(28),0.875
02/01/2026_07g00_1,,07g00,CS1,B4-504,32,28,CH2003(28),0.875
02/01/2026_07g00_1,,07g00,CS1,B1-215,25,24,EE3117(24),0.96
02/01/2026_07g00_1,,07g00,CS1,B9-203,26,23,CI2003(23),0.8846153846153846
02/01/2026_07g00_1,,07g00,CS1,B9-202,28,21,ME4133(21),0.75
02/01/2026_07g00_1,,07g00,CS1,C4-401,26,21,TR3001(21),0.8076923076923077
02/01/2026_07g00_1,,07g00,CS1,B6-301,26,19,CO2011(19),0.7307692307692307
02/01/2026_07g00_1,,07g00,CS1,B1-210,25,19,EE2081(19),0.76
02/01/2026_07g00_1,,07g00,CS1,B1-214,25,19,EE2081(19),0.76
02/01/2026_07g00_1,,07g00,CS1,C6-103,50,14,CI1003(14),0.28
02/01/2026_07g00_2,,07g00,CS2,NTD,300,300,"CH2003(50), ME4133(46), EE2015(44), CO2011(42), CH4101(41), CI2003(40), EE2081(37)",1.0
02/01/2026_07g00_2,,07g00,CS2,H3-306,75,73,"CH2003(46), EE3017(27)",0.9733333333333334
02/01/2026_07g00_2,,07g00,CS2,H3-406,75,68,"EE2015(42), EE3089(26)",0.9066666666666666
02/01/2026_07g00_2,,07g00,CS2,H6-110,42,40,CI2003(40),0.9523809523809523
02/01/2026_07g00_2,,07g00,CS2,H6-113,68,63,"CI2003(40), EE2081(23)",0.9264705882352942
02/01/2026_07g00_2,,07g00,CS2,H6-201,63,60,"CI2003(40), EE3117(20)",0.9523809523809523
02/01/2026_07g00_2,,07g00,CS2,H6-205,62,58,"CI2003(40), TR3001(18)",0.9354838709677419
02/01/2026_07g00_2,,07g00,CS2,H6-211,66,40,CI2003(40),0.6060606060606061
02/01/2026_07g00_2,,07g00,CS2,H6-305,68,40,CI2003(40),0.5882352941176471
02/01/2026_07g00_2,,07g00,CS2,H6-311,71,40,CI2003(40),0.5633802816901409
02/01/2026_07g00_2,,07g00,CS2,H6-405,63,40,CI2003(40),0.6349206349206349
02/01/2026_07g00_2,,07g00,CS2,H6-412,65,40,CI2003(40),0.6153846153846154
02/01/2026_07g00_2,,07g00,CS2,H2-202,62,40,CO2011(40),0.6451612903225806
02/01/2026_07g00_2,,07g00,CS2,H2-205,62,40,CO2011(40),0.6451612903225806
02/01/2026_07g00_2,,07g00,CS2,H2-206,82,80,"CO2011(40), CH2003(40)",0.975609756097561
02/01/2026_07g00_2,,07g00,CS2,H2-207,71,40,CO2011(40),0.5633802816901409
02/01/2026_07g00_2,,07g00,CS2,H2-301,82,80,"CO2011(40), CH2003(40)",0.975609756097561
02/01/2026_07g00_2,,07g00,CS2,H2-304,49,40,CO2011(40),0.8163265306122449
02/01/2026_07g00_2,,07g00,CS2,H2-306,82,80,"CO2011(40), CH2003(40)",0.975609756097561
02/01/2026_07g00_2,,07g00,CS2,H2-307,62,40,CO2011(40),0.6451612903225806
02/01/2026_07g00_2,,07g00,CS2,H2-401,82,80,"CO2011(40), CH4101(40)",0.975609756097561
02/01/2026_07g00_2,,07g00,CS2,H2-403,49,40,CO2011(40),0.8163265306122449
02/01/2026_07g00_2,,07g00,CS2,H2-404,49,40,CO2011(40),0.8163265306122449
02/01/2026_07g00_2,,07g00,CS2,H3-403,46,40,EE2015(40),0.8695652173913043
02/01/2026_07g00_2,,07g00,CS2,H3-404,46,40,EE2015(40),0.8695652173913043
02/01/2026_07g00_2,,07g00,CS2,H3-501,75,75,"EE2015(40), CI2003(35)",1.0
02/01/2026_07g00_2,,07g00,CS2,H3-503,46,40,EE2015(40),0.8695652173913043
02/01/2026_07g00_2,,07g00,CS2,H6-308,76,76,"EE2081(40), CI2003(36)",1.0
02/01/2026_07g00_2,,07g00,CS2,H6-504,56,40,EE2081(40),0.7142857142857143
02/01/2026_07g00_2,,07g00,CS2,H6-506,55,40,EE2081(40),0.7272727272727273
02/01/2026_07g00_2,,07g00,CS2,H6-516,60,40,EE2081(40),0.6666666666666666
02/01/2026_07g00_2,,07g00,CS2,H6-802,63,40,EE2081(40),0.6349206349206349
02/01/2026_07g00_2,,07g00,CS2,H6-810,63,40,EE2081(40),0.6349206349206349
02/01/2026_07g00_2,,07g00,CS2,H6-811,79,79,"EE2081(40), CI2003(39)",1.0
02/01/2026_07g00_2,,07g00,CS2,H1-101,73,40,EE3117(40),0.547945205479452
02/01/2026_07g00_2,,07g00,CS2,H1-104,73,40,TR3001(40),0.547945205479452
02/01/2026_07g00_2,,07g00,CS2,H6-208,62,39,CI2003(39),0.6290322580645161
02/01/2026_07g00_2,,07g00,CS2,H2-302,62,39,CO2011(39),0.6290322580645161
02/01/2026_07g00_2,,07g00,CS2,H6-206,42,38,CI2003(38),0.9047619047619048
02/01/2026_07g00_2,,07g00,CS2,H3-205,56,38,CH2003(38),0.6785714285714286
02/01/2026_07g00_2,,07g00,CS2,H6-510,54,38,EE2081(38),0.7037037037037037
02/01/2026_07g00_2,,07g00,CS2,H6-210,42,37,CI2003(37),0.8809523809523809
02/01/2026_07g00_2,,07g00,CS2,H6-212,42,37,CI2003(37),0.8809523809523809
02/01/2026_07g00_2,,07g00,CS2,H6-213,42,37,CI2003(37),0.8809523809523809
02/01/2026_07g00_2,,07g00,CS2,H6-514,57,37,EE2081(37),0.6491228070175439
02/01/2026_07g00_2,,07g00,CS2,H6-310,42,36,CI2003(36),0.8571428571428571
02/01/2026_07g00_2,,07g00,CS2,H6-312,42,36,CI2003(36),0.8571428571428571
02/01/2026_07g00_2,,07g00,CS2,H6-313,42,36,CI2003(36),0.8571428571428571
02/01/2026_07g00_2,,07g00,CS2,H6-415,42,36,EE2081(36),0.8571428571428571
02/01/2026_07g00_2,,07g00,CS2,H6-411,42,35,CI2003(35),0.8333333333333334
02/01/2026_07g00_2,,07g00,CS2,H6-413,42,35,CI2003(35),0.8333333333333334
02/01/2026_07g00_2,,07g00,CS2,H6-414,42,34,CI2003(34),0.8095238095238095
02/01/2026_07g00_2,,07g00,CS2,H3-206,36,34,CH2003(34),0.9444444444444444
02/01/2026_09g30_1,,09g30,CS1,B5-GD,130,62,"MA3019(21), MA2033(15), AS3093(13), MA4139(10), AS2049(3)",0.47692307692307695
02/01/2026_09g30_2,,09g30,CS2,NTD,300,299,"GE3137(46), GE2053(40), MA2033(40), ME2113(40), ME4615(40), ME2065(37), GE2065(30), MA4125(26)",0.9966666666666667
02/01/2026_09g30_2,,09g30,CS2,H6-211,66,62,"MA2033(40), TR4021(22)",0.9393939393939394
02/01/2026_09g30_2,,09g30,CS2,H6-212,42,40,MA2033(40),0.9523809523809523
02/01/2026_09g30_2,,09g30,CS2,H6-110,42,38,GE2053(38),0.9047619047619048
02/01/2026_09g30_2,,09g30,CS2,H6-213,42,37,MA2033(37),0.8809523809523809
02/01/2026_09g30_2,,09g30,CS2,H6-112,42,42,"ME2113(29), CO3033(13)",1.0
02/01/2026_09g30_2,,09g30,CS2,H6-206,42,29,ME4615(29),0.6904761904761905
02/01/2026_09g30_2,,09g30,CS2,H6-306,42,28,EN3207(28),0.6666666666666666
02/01/2026_09g30_2,,09g30,CS2,H6-214,42,38,"MA2033(20), ME2065(18)",0.9047619047619048
02/01/2026_09g30_2,,09g30,CS2,H6-313,42,15,IM4001(15),0.35714285714285715
02/01/2026_13g00_1,,13g00,CS1,B5-GD,130,130,"AS1003(45), ME2089(44), IM3047(41)",1.0
02/01/2026_13g00_1,,13g00,CS1,B4-306,42,32,CH3351(32),0.7619047619047619
02/01/2026_13g00_1,,13g00,CS1,B4-402,32,31,EE2035(31),0.96875
02/01/2026_13g00_1,,13g00,CS1,B8-301,35,30,CH3341(30),0.8571428571428571
02/01/2026_13g00_1,,13g00,CS1,B4-303,32,30,IM3047(30),0.9375
02/01/2026_13g00_1,,13g00,CS1,B4-501,42,42,"ME2089(30), CO3067(12)",1.0
02/01/2026_13g00_1,,13g00,CS1,B4-502,42,30,ME2089(30),0.7142857142857143
02/01/2026_13g00_1,,13g00,CS1,B4-504,32,29,ME2089(29),0.90625
02/01/2026_13g00_1,,13g00,CS1,B4-302,32,26,IM3047(26),0.8125
02/01/2026_13g00_1,,13g00,CS1,B4-401,32,27,"EE2035(14), CH3341(13)",0.84375
02/01/2026_13g00_2,,13g00,CS2,NTD,300,288,"CI4145(50), CO3067(49), CH3341(42), IM3047(41), ME2089(41), AS1003(40), EE2035(25)",0.96
02/01/2026_13g00_2,,13g00,CS2,H6-311,71,65,"ME2089(41), CH3351(24)",0.9154929577464789
02/01/2026_13g00_2,,13g00,CS2,H6-412,65,61,"ME2089(41), IU3067(20)",0.9384615384615385
02/01/2026_13g00_2,,13g00,CS2,H6-413,42,40,CH3351(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-510,54,40,EE2035(40),0.7407407407407407
02/01/2026_13g00_2,,13g00,CS2,H6-512,55,40,EE2035(40),0.7272727272727273
02/01/2026_13g00_2,,13g00,CS2,H6-516,60,60,"EE2035(40), PH2001(20)",1.0
02/01/2026_13g00_2,,13g00,CS2,H6-113,68,59,"IM3047(40), AS1003(19)",0.8676470588235294
02/01/2026_13g00_2,,13g00,CS2,H6-205,62,40,IM3047(40),0.6451612903225806
02/01/2026_13g00_2,,13g00,CS2,H6-206,42,40,IM3047(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-208,62,40,IM3047(40),0.6451612903225806
02/01/2026_13g00_2,,13g00,CS2,H6-210,42,40,IM3047(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-211,66,40,IM3047(40),0.6060606060606061
02/01/2026_13g00_2,,13g00,CS2,H6-212,42,40,IM3047(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-213,42,40,IM3047(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-214,42,40,IM3047(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-306,42,40,ME2089(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-310,42,40,ME2089(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-312,42,40,ME2089(40),0.9523809523809523
02/01/2026_13g00_2,,13g00,CS2,H6-405,63,40,ME2089(40),0.6349206349206349
02/01/2026_13g00_2,,13g00,CS2,H6-109,42,39,AS1003(39),0.9285714285714286
02/01/2026_13g00_2,,13g00,CS2,H6-514,57,39,EE2035(39),0.6842105263157895
02/01/2026_13g00_2,,13g00,CS2,H6-811,79,77,"PH2001(39), ME2089(38)",0.9746835443037974
02/01/2026_13g00_2,,13g00,CS2,H6-411,42,37,ME2089(37),0.8809523809523809
02/01/2026_15g30_1,,15g30,CS1,B5-GD,130,35,CO3061(35),0.2692307692307692
02/01/2026_15g30_1,,15g30,CS1,B4-303,32,30,CO3061(30),0.9375
02/01/2026_15g30_1,,15g30,CS1,B4-305,42,30,CO3061(30),0.7142857142857143
02/01/2026_15g30_1,,15g30,CS1,B4-301,32,22,CO3061(22),0.6875
02/01/2026_15g30_1,,15g30,CS1,B4-302,32,19,CO3061(19),0.59375
02/01/2026_15g30_2,,15g30,CS2,NTD,300,40,CO3061(40),0.13333333333333333
02/01/2026_15g30_2,,15g30,CS2,H6-110,42,40,CO3061(40),0.9523809523809523
02/01/2026_15g30_2,,15g30,CS2,H6-112,42,40,CO3061(40),0.9523809523809523
02/01/2026_15g30_2,,15g30,CS2,H6-113,68,40,CO3061(40),0.5882352941176471
02/01/2026_18g15_1,,18g15,CS1,B5-GD,130,129,"CO5175(41), CO5111(30), CH5711(30), CH5747(28)",0.9923076923076923
02/01/2026_18g15_1,,18g15,CS1,B4-302,32,28,CH5711(28),0.875
02/01/2026_18g15_1,,18g15,CS1,B4-301,32,28,"CI5777(16), MA5071(12)",0.875
03/01/2026_07g00_1,,07g00,CS1,B5-GD,130,130,"MT1013(39), CO4033(30), CO5097(30), IM4003(27), ME5091(4)",1.0
03/01/2026_07g00_1,,07g00,CS1,B6-303,32,30,CO5097(30),0.9375
03/01/2026_07g00_1,,07g00,CS1,B6-306,42,41,"CO5097(30), EE3189(11)",0.9761904761904762
03/01/2026_07g00_1,,07g00,CS1,B4-303,32,30,MT1013(30),0.9375
03/01/2026_07g00_1,,07g00,CS1,B4-406,57,56,"CI5239(26), ME3005(25), EE3035(5)",0.9824561403508771
03/01/2026_07g00_1,,07g00,CS1,B4-403,32,31,"TR4057(18), AS3031(13)",0.96875
03/01/2026_07g00_1,,07g00,CS1,B6-304,32,32,"CO5097(17), CH3131(15)",1.0
03/01/2026_07g00_1,,07g00,CS1,B4-301,32,32,"ME3005(15), MA2037(10), MA4065(7)",1.0
03/01/2026_07g00_1,,07g00,CS1,B4-505,63,5,EN5075(5),0.07936507936507936
