DATE,KEY,ROOMS_BEFORE,ROOMS_AFTER,ROOMS_SAVED
,02/01/2026_07g00_1,52,48,4
,02/01/2026_07g00_2,71,53,18
,02/01/2026_09g30_1,5,1,4
,02/01/2026_09g30_2,20,10,10
,02/01/2026_13g00_1,14,10,4
,02/01/2026_13g00_2,35,24,11
,02/01/2026_15g30_1,5,5,0
,02/01/2026_15g30_2,4,4,0
,02/01/2026_18g15_1,7,3,4
,03/01/2026_07g00_1,20,9,11
,03/01/2026_07g00_2,28,16,12
,03/01/2026_09g30_1,27,27,0
,03/01/2026_09g30_2,39,39,0
,03/01/2026_13g00_1,11,7,4
,03/01/2026_13g00_2,14,7,7
,03/01/2026_15g30_1,2,2,0
,03/01/2026_15g30_2,3,3,0
,04/01/2026_07g00_1,33,25,8
,04/01/2026_07g00_2,50,29,21
,04/01/2026_09g30_1,15,8,7
,04/01/2026_09g30_2,4,4,0
,04/01/2026_13g00_1,20,16,4
,04/01/2026_13g00_2,38,24,14
,04/01/2026_15g30_1,6,4,2
,15/12/2025_07g00_1,42,39,3
,15/12/2025_07g00_2,71,64,7
,15/12/2025_09g30_1,19,13,6
,15/12/2025_09g30_2,13,5,8
,15/12/2025_13g00_1,10,6,4
,15/12/2025_13g00_2,24,16,8
,15/12/2025_15g30_1,2,2,0
,15/12/2025_15g30_2,3,3,0
,16/12/2025_07g00_1,15,10,5
,16/12/2025_07g00_2,8,5,3
,16/12/2025_09g30_1,9,7,2
,16/12/2025_09g30_2,18,14,4
,16/12/2025_13g00_1,18,17,1
,16/12/2025_13g00_2,36,29,7
,16/12/2025_15g30_1,7,4,3
,16/12/2025_15g30_2,15,8,7
,17/12/2025_07g00_1,39,33,6
,17/12/2025_07g00_2,61,44,17
,17/12/2025_13g00_1,44,39,5
,17/12/2025_13g00_2,64,46,18
,17/12/2025_15g30_1,1,1,0
,17/12/2025_15g30_2,1,1,0
,18/12/2025_07g00_1,22,17,5
,18/12/2025_07g00_2,43,34,9
,18/12/2025_09g30_1,5,4,1
,18/12/2025_09g30_2,7,6,1
,18/12/2025_13g00_1,42,40,2
,18/12/2025_13g00_2,56,41,15
,18/12/2025_15g30_1,4,3,1
,18/12/2025_15g30_2,5,4,1
,19/12/2025_07g00_1,12,7,5
,19/12/2025_07g00_2,38,25,13
,19/12/2025_09g30_1,40,38,2
,19/12/2025_09g30_2,48,46,2
,19/12/2025_13g00_1,26,21,5
,19/12/2025_13g00_2,55,37,18
,19/12/2025_15g30_1,2,2,0
,19/12/2025_15g30_2,4,4,0
,20/12/2025_07g00_2,2,1,1
,20/12/2025_09g30_1,1,1,0
,20/12/2025_09g30_2,2,2,0
,22/12/2025_07g00_1,55,52,3
,22/12/2025_07g00_2,59,55,4
,22/12/2025_09g30_1,11,10,1
,22/12/2025_09g30_2,51,47,4
,22/12/2025_13g00_1,21,16,5
,22/12/2025_13g00_2,36,21,15
,22/12/2025_15g30_1,3,3,0
,22/12/2025_15g30_2,24,24,0
,22/12/2025_18g15_1,12,6,6
,23/12/2025_07g00_1,55,53,2
,23/12/2025_07g00_2,57,52,5
,23/12/2025_09g30_1,21,18,3
,23/12/2025_09g30_2,57,50,7
,23/12/2025_13g00_1,14,10,4
,23/12/2025_13g00_2,33,20,13
,23/12/2025_15g30_1,2,2,0
,23/12/2025_15g30_2,4,4,0
,23/12/2025_18g15_1,12,7,5
,24/12/2025_07g00_1,53,49,4
,24/12/2025_07g00_2,70,50,20
,24/12/2025_09g30_1,12,8,4
,24/12/2025_09g30_2,14,5,9
,24/12/2025_13g00_1,31,29,2
,24/12/2025_13g00_2,64,58,6
,24/12/2025_15g30_1,10,8,2
,24/12/2025_15g30_2,6,5,1
,24/12/2025_18g15_1,18,10,8
,25/12/2025_07g00_1,51,45,6
,25/12/2025_07g00_2,62,41,21
,25/12/2025_09g30_1,5,4,1
,25/12/2025_09g30_2,11,9,2
,25/12/2025_13g00_1,14,9,5
,25/12/2025_13g00_2,19,14,5
,25/12/2025_15g30_1,7,6,1
,25/12/2025_15g30_2,2,2,0
,25/12/2025_18g15_1,12,7,5
,26/12/2025_07g00_1,44,40,4
,26/12/2025_07g00_2,66,50,16
,26/12/2025_09g30_1,22,18,4
,26/12/2025_09g30_2,17,12,5
,26/12/2025_13g00_1,15,13,2
,26/12/2025_13g00_2,67,50,17
,26/12/2025_15g30_1,7,6,1
,26/12/2025_15g30_2,3,3,0
,26/12/2025_18g15_1,6,2,4
,27/12/2025_07g00_1,3,2,1
,27/12/2025_07g00_2,30,30,0
,27/12/2025_09g30_1,11,10,1
,27/12/2025_09g30_2,12,11,1
,27/12/2025_13g00_1,14,6,8
,27/12/2025_13g00_2,11,9,2
,27/12/2025_15g30_1,7,6,1
,27/12/2025_15g30_2,7,7,0
,28/12/2025_07g00_1,5,5,0
,28/12/2025_07g00_2,4,4,0
,28/12/2025_09g30_1,14,14,0
,28/12/2025_13g00_1,20,17,3
,28/12/2025_13g00_2,19,16,3
,28/12/2025_15g30_1,8,4,4
,29/12/2025_07g00_1,27,22,5
,29/12/2025_07g00_2,54,35,19
,29/12/2025_09g30_1,3,3,0
,29/12/2025_13g00_1,19,16,3
,29/12/2025_13g00_2,34,25,9
,29/12/2025_18g15_1,9,7,2
,30/12/2025_07g00_1,37,34,3
,30/12/2025_07g00_2,64,45,19
,30/12/2025_09g30_1,21,21,0
,30/12/2025_09g30_2,47,47,0
,30/12/2025_13g00_1,13,11,2
,30/12/2025_13g00_2,14,9,5
,30/12/2025_15g30_1,1,1,0
,30/12/2025_15g30_2,4,3,1
,30/12/2025_18g15_1,3,3,0
,31/12/2025_07g00_1,41,37,4
,31/12/2025_07g00_2,61,45,16
,31/12/2025_09g30_1,8,7,1
,31/12/2025_09g30_2,12,11,1
,31/12/2025_13g00_1,14,12,2
,31/12/2025_13g00_2,28,23,5
,31/12/2025_15g30_1,6,5,1
,31/12/2025_15g30_2,12,11,1
,31/12/2025_18g15_1,3,1,2
