DATE_ONLY,CS1_SUM,CS2_SUM,TOTAL_ROOMS_USED_SUM,CS1_PEAK,CS2_PEAK,TOTAL_ROOMS_USED_PEAK
2025-12-15,47.0,58.0,105.0,30.0,40.0,70.0
2025-12-16,31.0,39.0,70.0,13.0,19.0,32.0
2025-12-17,58.0,69.0,127.0,32.0,35.0,67.0
2025-12-18,48.0,59.0,107.0,30.0,30.0,60.0
2025-12-19,52.0,73.0,125.0,28.0,27.0,55.0
2025-12-20,1.0,2.0,3.0,1.0,1.0,2.0
2025-12-22,74.0,89.0,163.0,45.0,34.0,79.0
2025-12-23,75.0,80.0,155.0,45.0,31.0,76.0
2025-12-24,82.0,84.0,166.0,37.0,39.0,76.0
2025-12-25,58.0,50.0,108.0,35.0,33.0,68.0
2025-12-26,60.0,84.0,144.0,31.0,37.0,68.0
2025-12-27,19.0,32.0,51.0,8.0,15.0,23.0
2025-12-28,30.0,12.0,42.0,13.0,10.0,23.0
2025-12-29,36.0,44.0,80.0,16.0,27.0,43.0
2025-12-30,51.0,69.0,120.0,25.0,34.0,59.0
2025-12-31,49.0,59.0,108.0,28.0,34.0,62.0
2026-01-02,54.0,67.0,121.0,37.0,39.0,76.0
2026-01-03,34.0,41.0,75.0,18.0,20.0,38.0
2026-01-04,40.0,44.0,84.0,18.0,23.0,41.0
