COURSE ID,DATE_ONLY,TIME,CS1,CS2,TOTAL
CI4197,2025-12-15,07g00,0,41,41
CO3057,2025-12-15,07g00,53,64,117
EE3063,2025-12-15,07g00,0,52,52
EE3093,2025-12-15,07g00,66,54,120
IM3055,2025-12-15,07g00,16,50,66
MT2009,2025-12-15,07g00,186,0,186
MT2013,2025-12-15,07g00,958,2535,3493
AS3055,2025-12-15,09g30,17,0,17
CH3399,2025-12-15,09g30,15,8,23
CI2043,2025-12-15,09g30,0,3,3
CI3245,2025-12-15,09g30,0,13,13
EE2405,2025-12-15,09g30,226,0,226
EN3025,2025-12-15,09g30,0,2,2
GE3017,2025-12-15,09g30,0,45,45
IM1029,2025-12-15,09g30,120,179,299
IM3101,2025-12-15,09g30,27,0,27
IM4035,2025-12-15,09g30,0,51,51
IU3017,2025-12-15,09g30,0,13,13
MA2035,2025-12-15,09g30,18,0,18
MA3031,2025-12-15,09g30,0,13,13
MA3145,2025-12-15,09g30,23,0,23
MA3153,2025-12-15,09g30,9,0,9
MA4185,2025-12-15,09g30,7,0,7
TR4073,2025-12-15,09g30,28,0,28
CH2035,2025-12-15,13g00,34,56,90
CH3347,2025-12-15,13g00,20,69,89
CI3243,2025-12-15,13g00,0,83,83
CI4161,2025-12-15,13g00,30,0,30
IM1017,2025-12-15,13g00,0,65,65
IM1021,2025-12-15,13g00,146,562,708
ME4137,2025-12-15,13g00,17,31,48
TR2033,2025-12-15,13g00,0,13,13
CO3011,2025-12-15,15g30,54,119,173
CI2135,2025-12-16,07g00,22,0,22
CO3007,2025-12-16,07g00,58,212,270
EE5013,2025-12-16,07g00,11,0,11
GE1021,2025-12-16,07g00,0,8,8
MA4119,2025-12-16,07g00,0,12,12
ME2113,2025-12-16,07g00,77,0,77
ME5003,2025-12-16,07g00,14,0,14
MT2007,2025-12-16,07g00,209,0,209
TR4051,2025-12-16,07g00,0,20,20
TR5005,2025-12-16,07g00,18,0,18
CH4139,2025-12-16,09g30,0,30,30
CO3059,2025-12-16,09g30,20,61,81
EE3121,2025-12-16,09g30,0,27,27
LA2017,2025-12-16,09g30,97,0,97
MT1005,2025-12-16,09g30,139,555,694
CI2145,2025-12-16,13g00,0,87,87
CO3017,2025-12-16,13g00,72,119,191
EE3085,2025-12-16,13g00,0,60,60
ME4533,2025-12-16,13g00,0,61,61
SP1033,2025-12-16,13g00,494,1068,1562
CH3015,2025-12-16,15g30,48,125,173
EE3007,2025-12-16,15g30,0,27,27
EE3009,2025-12-16,15g30,6,81,87
ME4217,2025-12-16,15g30,103,103,206
TR4085,2025-12-16,15g30,42,158,200
CH3321,2025-12-17,07g00,0,40,40
CH3429,2025-12-17,07g00,0,12,12
CI3067,2025-12-17,07g00,0,26,26
CI3241,2025-12-17,07g00,0,121,121
CO3037,2025-12-17,07g00,70,0,70
EE3043,2025-12-17,07g00,15,75,90
EE3069,2025-12-17,07g00,30,55,85
EE3091,2025-12-17,07g00,101,0,101
EE4451,2025-12-17,07g00,18,0,18
EN3209,2025-12-17,07g00,14,42,56
IM4019,2025-12-17,07g00,15,18,33
IU2011,2025-12-17,07g00,0,36,36
MA2015,2025-12-17,07g00,21,22,43
MA3011,2025-12-17,07g00,0,10,10
MA4087,2025-12-17,07g00,0,29,29
MA4141,2025-12-17,07g00,11,0,11
MA4189,2025-12-17,07g00,5,0,5
ME3171,2025-12-17,07g00,0,33,33
ME5005,2025-12-17,07g00,14,0,14
PH2005,2025-12-17,07g00,178,0,178
SP1007,2025-12-17,07g00,476,1588,2064
