DATE_ONLY,TIME,CAMPUS,ROOM ID,ROOM EXAM CAPACITY,COURSE ID,ALLOCATED STUDENTS
2025-12-15,07g00,CS1,B1-208,44,MT2013,44
2025-12-15,07g00,CS1,B1-212,38,CO3057,6
2025-12-15,07g00,CS1,B1-212,38,IM3055,16
2025-12-15,07g00,CS1,B1-212,38,MT2013,16
2025-12-15,07g00,CS1,B1-305,38,CO3057,5
2025-12-15,07g00,CS1,B1-306,44,MT2013,44
2025-12-15,07g00,CS1,B1-311,42,MT2009,42
2025-12-15,07g00,CS1,B4-305,42,MT2013,42
2025-12-15,07g00,CS1,B4-306,42,MT2013,42
2025-12-15,07g00,CS1,B4-406,57,MT2013,57
2025-12-15,07g00,CS1,B4-501,42,MT2013,42
2025-12-15,07g00,CS1,B4-502,42,MT2013,42
2025-12-15,07g00,CS1,B4-505,63,MT2013,63
2025-12-15,07g00,CS1,B5-GD,130,MT2013,130
2025-12-15,07g00,CS1,B6-306,42,MT2013,42
2025-12-15,07g00,CS1,C4-301,42,MT2013,42
2025-12-15,07g00,CS1,C4-304,42,MT2013,42
2025-12-15,07g00,CS1,C4-402,42,MT2013,42
2025-12-15,07g00,CS1,C4-403,42,MT2009,42
2025-12-15,07g00,CS1,C4-502,42,MT2013,42
2025-12-15,07g00,CS1,C5-303,42,MT2013,42
2025-12-15,07g00,CS1,C5-401,42,MT2009,42
2025-12-15,07g00,CS1,C5-403,42,MT2013,42
2025-12-15,07g00,CS1,C5-502,42,EE3093,42
2025-12-15,07g00,CS1,C5-503,42,EE3093,24
2025-12-15,07g00,CS1,C5-503,42,MT2009,18
2025-12-15,07g00,CS1,C6-102,50,MT2013,50
2025-12-15,07g00,CS1,C6-103,50,MT2013,50
2025-12-15,07g00,CS1,C6-401,42,CO3057,42
2025-12-15,07g00,CS1,C6-402,42,MT2013,42
2025-12-15,07g00,CS1,C6-403,42,MT2009,42
2025-12-15,07g00,CS2,H1-101,73,MT2013,73
2025-12-15,07g00,CS2,H1-104,73,MT2013,73
