DATE_ONLY,TIME,CAMPUS,ROOM ID,ROOM_CAPACITY,ROOM_EXAM_CAPACITY,TOTAL_STUDENTS,NUM_MODULES,UTILIZATION
2025-12-15,07g00,CS1,B1-208,84,44,84,2,1.0
2025-12-15,07g00,CS1,B1-306,84,44,84,3,1.0
2025-12-15,07g00,CS1,B4-406,108,57,108,2,1.0
2025-12-15,07g00,CS1,B4-505,120,63,120,2,1.0
2025-12-15,07g00,CS1,C6-102,100,50,100,2,1.0
2025-12-15,07g00,CS1,C6-103,100,50,100,2,1.0
2025-12-15,07g00,CS1,C4-502,80,42,75,4,0.9375
2025-12-15,07g00,CS1,B1-311,80,42,42,1,0.525
2025-12-15,07g00,CS1,B4-305,80,42,42,1,0.525
2025-12-15,07g00,CS1,B4-306,80,42,42,1,0.525
2025-12-15,07g00,CS1,B4-501,80,42,42,1,0.525
2025-12-15,07g00,CS1,B4-502,80,42,42,1,0.525
2025-12-15,07g00,CS1,B6-306,80,42,42,1,0.525
2025-12-15,07g00,CS1,C4-301,80,42,42,1,0.525
2025-12-15,07g00,CS1,C4-403,80,42,42,1,0.525
2025-12-15,07g00,CS1,C5-303,80,42,42,1,0.525
2025-12-15,07g00,CS1,C5-401,80,42,42,1,0.525
2025-12-15,07g00,CS1,C5-403,80,42,42,1,0.525
2025-12-15,07g00,CS1,C5-502,80,42,42,1,0.525
2025-12-15,07g00,CS1,C5-503,80,42,42,1,0.525
2025-12-15,07g00,CS1,C6-403,80,42,42,1,0.525
2025-12-15,07g00,CS1,C6-402,80,42,20,1,0.25
2025-12-15,07g00,CS2,H2-201,156,82,156,3,1.0
2025-12-15,07g00,CS2,H2-401,156,82,156,3,1.0
2025-12-15,07g00,CS2,H2-406,156,82,156,3,1.0
2025-12-15,07g00,CS2,H2-306,156,82,121,3,0.7756410256410257
2025-12-15,07g00,CS2,H2-202,117,62,62,1,0.5299145299145299
2025-12-15,07g00,CS2,H6-208,117,62,62,1,0.5299145299145299
2025-12-15,07g00,CS2,H1-101,138,73,73,1,0.5289855072463768
2025-12-15,07g00,CS2,H1-104,138,73,73,1,0.5289855072463768
2025-12-15,07g00,CS2,H6-412,123,65,65,1,0.5284552845528455
2025-12-15,07g00,CS2,H3-201,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-301,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-306,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-401,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-406,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-501,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H3-506,142,75,75,1,0.528169014084507
2025-12-15,07g00,CS2,H6-308,144,76,76,1,0.5277777777777778
2025-12-15,07g00,CS2,H1-204,129,68,68,1,0.5271317829457365
2025-12-15,07g00,CS2,H6-113,129,68,68,1,0.5271317829457365
2025-12-15,07g00,CS2,H6-305,129,68,68,1,0.5271317829457365
2025-12-15,07g00,CS2,H6-811,150,79,79,1,0.5266666666666666
2025-12-15,07g00,CS2,H1-307,135,71,71,1,0.5259259259259259
2025-12-15,07g00,CS2,H2-207,135,71,71,1,0.5259259259259259
2025-12-15,07g00,CS2,H6-311,135,71,71,1,0.5259259259259259
2025-12-15,07g00,CS2,H2-206,156,82,82,1,0.5256410256410257
2025-12-15,07g00,CS2,H2-301,156,82,82,1,0.5256410256410257
2025-12-15,07g00,CS2,H1-405,120,63,63,1,0.525
2025-12-15,07g00,CS2,H3-606,120,63,63,1,0.525
2025-12-15,07g00,CS2,H6-201,120,63,63,1,0.525
2025-12-15,07g00,CS2,H6-405,120,63,63,1,0.525
2025-12-15,07g00,CS2,H6-802,120,63,63,1,0.525
2025-12-15,07g00,CS2,H6-810,120,63,63,1,0.525
2025-12-15,07g00,CS2,H1-401,126,66,66,1,0.5238095238095238
2025-12-15,07g00,CS2,H1-404,126,66,66,1,0.5238095238095238
2025-12-15,07g00,CS2,H6-211,126,66,66,1,0.5238095238095238
2025-12-15,07g00,CS2,H2-205,117,62,35,1,0.29914529914529914
2025-12-15,09g30,CS1,B4-406,108,57,108,2,1.0
2025-12-15,09g30,CS1,B4-505,120,63,120,2,1.0
2025-12-15,09g30,CS1,C6-102,100,50,100,4,1.0
2025-12-15,09g30,CS1,C6-103,100,50,100,3,1.0
2025-12-15,09g30,CS1,B1-208,84,44,62,7,0.7380952380952381
2025-12-15,09g30,CS2,H2-201,156,82,156,3,1.0
2025-12-15,09g30,CS2,H2-406,156,82,156,8,1.0
2025-12-15,09g30,CS2,H2-401,156,82,15,1,0.09615384615384616
2025-12-15,13g00,CS1,B4-505,120,63,120,3,1.0
2025-12-15,13g00,CS1,B4-406,108,57,101,4,0.9351851851851852
2025-12-15,13g00,CS1,C6-103,100,50,26,1,0.26
2025-12-15,13g00,CS2,H2-201,156,82,156,2,1.0
2025-12-15,13g00,CS2,H2-306,156,82,156,4,1.0
2025-12-15,13g00,CS2,H2-401,156,82,156,3,1.0
2025-12-15,13g00,CS2,H2-406,156,82,156,3,1.0
2025-12-15,13g00,CS2,H2-301,156,82,103,3,0.6602564102564102
2025-12-15,13g00,CS2,H2-206,156,82,82,1,0.5256410256410257
2025-12-15,13g00,CS2,H6-811,150,79,70,1,0.4666666666666667
2025-12-15,15g30,CS1,B4-505,120,63,54,1,0.45
2025-12-15,15g30,CS2,H2-201,156,82,82,1,0.5256410256410257
2025-12-15,15g30,CS2,H2-406,156,82,37,1,0.23717948717948717
2025-12-16,07g00,CS1,B4-406,108,57,108,2,1.0
2025-12-16,07g00,CS1,B4-505,120,63,120,2,1.0
2025-12-16,07g00,CS1,C6-103,100,50,100,4,1.0
2025-12-16,07g00,CS1,C6-102,100,50,81,5,0.81
2025-12-16,07g00,CS2,H2-201,156,82,122,4,0.782051282051282
2025-12-16,07g00,CS2,H2-406,156,82,82,1,0.5256410256410257
2025-12-16,07g00,CS2,H2-401,156,82,48,1,0.3076923076923077
