ROOM ID,CAPACITY,EXAM CAPACITY,CAMPUS_NORM,CAMPUS_CONFLICT
B1-201,40,21,CS1,False
B1-202,40,21,CS1,False
B1-203,60,32,CS1,False
B1-206,48,25,CS1,False
B1-208,84,44,CS1,False
B1-210,48,25,CS1,False
B1-211,32,17,CS1,False
B1-212,72,38,CS1,False
B1-213,72,38,CS1,False
B1-214,48,25,CS1,False
B1-215,48,25,CS1,False
B1-301,56,30,CS1,False
B1-302,56,30,CS1,False
B1-303,56,30,CS1,False
B1-305,72,38,CS1,False
B1-306,84,44,CS1,False
B1-308,72,38,CS1,False
B1-309,56,30,CS1,False
B1-310,32,17,CS1,False
B1-311,80,42,CS1,False
B1-313,56,30,CS1,False
B1-314,56,30,CS1,False
B1-315,56,30,CS1,False
B10-203,70,37,CS1,False
B10-204,40,21,CS1,False
B10-205,40,21,CS1,False
B4-301,60,32,CS1,False
B4-302,60,32,CS1,False
B4-303,60,32,CS1,False
B4-305,80,42,CS1,False
B4-306,80,42,CS1,False
B4-401,60,32,CS1,False
B4-402,60,32,CS1,False
B4-403,60,32,CS1,False
B4-405,60,32,CS1,False
B4-406,108,57,CS1,False
B4-501,80,42,CS1,False
B4-502,80,42,CS1,False
B4-504,60,32,CS1,False
B4-505,120,63,CS1,False
B6-301,50,26,CS1,False
B6-302,60,32,CS1,False
B6-303,60,32,CS1,False
B6-304,60,32,CS1,False
B6-305,60,32,CS1,False
B6-306,80,42,CS1,False
B8-301,66,35,CS1,False
B8-302,40,21,CS1,False
B8-303,62,33,CS1,False
B8-304,62,33,CS1,False
B9-201,60,32,CS1,False
B9-202,54,28,CS1,False
B9-203,50,26,CS1,False
B9-204,40,21,CS1,False
C4-301,80,42,CS1,False
C4-302,50,26,CS1,False
C4-303,50,26,CS1,False
C4-304,80,42,CS1,False
C4-401,50,26,CS1,False
C4-402,80,42,CS1,False
C4-403,80,42,CS1,False
C4-404,50,26,CS1,False
C4-502,80,42,CS1,False
C5-302,50,26,CS1,False
C5-303,80,42,CS1,False
C5-401,80,42,CS1,False
C5-402,50,26,CS1,False
C5-403,80,42,CS1,False
C5-502,80,42,CS1,False
C5-503,80,42,CS1,False
C6-102,100,50,CS1,False
C6-103,100,50,CS1,False
C6-401,80,42,CS1,False
C6-402,80,42,CS1,False
C6-403,80,42,CS1,False
C6-603,48,25,CS1,False
H1-101,138,73,CS2,False
H1-102,93,49,CS2,False
H1-103,90,47,CS2,False
H1-104,138,73,CS2,False
H1-106,66,35,CS2,False
H1-204,129,68,CS2,False
H1-305,48,25,CS2,False
H1-306,48,25,CS2,False
H1-307,135,71,CS2,False
H1-308,48,25,CS2,False
H1-309,50,26,CS2,False
H1-310,66,35,CS2,False
H1-312,66,35,CS2,False
H1-401,126,66,CS2,False
H1-403,90,47,CS2,False
H1-404,126,66,CS2,False
H1-405,120,63,CS2,False
H2-201,156,82,CS2,False
H2-202,117,62,CS2,False
H2-205,117,62,CS2,False
H2-206,156,82,CS2,False
H2-207,135,71,CS2,False
H2-301,156,82,CS2,False
H2-302,117,62,CS2,False
H2-304,93,49,CS2,False
H2-305,63,33,CS2,False
H2-306,156,82,CS2,False
H2-307,117,62,CS2,False
H2-401,156,82,CS2,False
H2-402,63,33,CS2,False
H2-403,93,49,CS2,False
H2-404,93,49,CS2,False
H2-405,63,33,CS2,False
H2-406,156,82,CS2,False
H2-407,84,44,CS2,False
H3-101,68,36,CS2,False
H3-107,106,56,CS2,False
H3-201,142,75,CS2,False
H3-205,106,56,CS2,False
H3-206,68,36,CS2,False
H3-207,68,36,CS2,False
H3-301,142,75,CS2,False
H3-302,68,36,CS2,False
H3-303,88,46,CS2,False
H3-304,88,46,CS2,False
H3-305,68,36,CS2,False
H3-306,142,75,CS2,False
H3-401,142,75,CS2,False
H3-402,68,36,CS2,False
H3-403,88,46,CS2,False
H3-404,88,46,CS2,False
H3-406,142,75,CS2,False
H3-501,142,75,CS2,False
H3-502,68,36,CS2,False
H3-503,88,46,CS2,False
H3-504,88,46,CS2,False
H3-506,142,75,CS2,False
H3-606,120,63,CS2,False
H6-109,80,42,CS2,False
H6-110,80,42,CS2,False
H6-112,80,42,CS2,False
H6-113,129,68,CS2,False
H6-201,120,63,CS2,False
H6-205,117,62,CS2,False
H6-206,80,42,CS2,False
H6-208,117,62,CS2,False
H6-210,80,42,CS2,False
H6-211,126,66,CS2,False
H6-212,80,42,CS2,False
H6-213,80,42,CS2,False
H6-214,80,42,CS2,False
H6-305,129,68,CS2,False
H6-306,80,42,CS2,False
H6-308,144,76,CS2,False
H6-310,80,42,CS2,False
H6-311,135,71,CS2,False
H6-312,80,42,CS2,False
H6-313,80,42,CS2,False
H6-405,120,63,CS2,False
H6-411,80,42,CS2,False
H6-412,123,65,CS2,False
H6-413,80,42,CS2,False
H6-414,80,42,CS2,False
H6-415,80,42,CS2,False
H6-504,106,56,CS2,False
H6-506,105,55,CS2,False
H6-510,102,54,CS2,False
H6-512,105,55,CS2,False
H6-514,108,57,CS2,False
H6-516,114,60,CS2,False
H6-603,100,50,CS2,False
H6-604,100,50,CS2,False
H6-707,100,50,CS2,False
H6-708,100,50,CS2,False
H6-802,120,63,CS2,False
H6-810,120,63,CS2,False
H6-811,150,79,CS2,False
