DATE_ONLY,CS1,CS2,TOTAL_ROOM_SLOTS_USED
2025-12-15,31.0,48.0,79.0
2025-12-16,20.0,28.0,48.0
2025-12-17,29.0,39.0,68.0
2025-12-18,30.0,37.0,67.0
2025-12-19,40.0,50.0,90.0
2025-12-20,1.0,2.0,3.0
2025-12-22,53.0,72.0,125.0
2025-12-23,55.0,63.0,118.0
2025-12-24,50.0,54.0,104.0
2025-12-25,30.0,25.0,55.0
2025-12-26,45.0,51.0,96.0
2025-12-27,10.0,29.0,39.0
2025-12-28,26.0,8.0,34.0
2025-12-29,19.0,23.0,42.0
2025-12-30,34.0,49.0,83.0
2025-12-31,26.0,37.0,63.0
2026-01-02,28.0,35.0,63.0
2026-01-03,27.0,33.0,60.0
2026-01-04,22.0,24.0,46.0
