DATE_ONLY,CS1,CS2,TOTAL_ROOM_SLOTS_USED
2025-12-15,28.0,42.0,70.0
2025-12-16,18.0,22.0,40.0
2025-12-17,28.0,36.0,64.0
2025-12-18,25.0,32.0,57.0
2025-12-19,37.0,45.0,82.0
2025-12-20,1.0,2.0,3.0
2025-12-22,48.0,64.0,112.0
2025-12-23,50.0,55.0,105.0
2025-12-24,45.0,50.0,95.0
2025-12-25,27.0,26.0,53.0
2025-12-26,39.0,45.0,84.0
2025-12-27,10.0,21.0,31.0
2025-12-28,19.0,6.0,25.0
2025-12-29,16.0,21.0,37.0
2025-12-30,30.0,43.0,73.0
2025-12-31,23.0,32.0,55.0
2026-01-02,26.0,31.0,57.0
2026-01-03,24.0,28.0,52.0
2026-01-04,18.0,21.0,39.0
