DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM CAPACITY,TOTAL_STUDENTS,ROOM EXAM CAPACITY,COURSES MERGED,UTILIZATION
2025-12-15,07g00,CS1,B5-GD,130,130,130,MT2013(130),1.0
2025-12-15,07g00,CS1,B4-505,120,120,63,"MT2013(63), MT2009(57)",1.0
2025-12-15,07g00,CS1,B4-406,108,108,57,"MT2013(57), MT2009(51)",1.0
2025-12-15,07g00,CS1,C6-102,100,100,50,"EE3093(50), MT2013(50)",1.0
2025-12-15,07g00,CS1,C6-103,100,100,50,"MT2009(50), MT2013(50)",1.0
2025-12-15,07g00,CS1,B1-208,84,84,44,"MT2013(44), CO3057(40)",1.0
2025-12-15,07g00,CS1,B1-306,84,84,44,"MT2013(44), MT2009(28), EE3093(12)",1.0
2025-12-15,07g00,CS1,B4-502,80,75,42,"MT2013(42), IM3055(16), CO3057(13), EE3093(4)",0.9375
2025-12-15,07g00,CS1,B1-311,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,B4-305,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,B4-306,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,B4-501,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,B6-306,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,C4-301,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,C4-304,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,C4-402,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,C4-403,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,C4-502,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,C5-303,80,42,42,MT2013(42),0.525
2025-12-15,07g00,CS1,C5-401,80,16,42,MT2013(16),0.2
2025-12-15,07g00,CS2,NTD,300,300,300,MT2013(300),1.0
2025-12-15,07g00,CS2,H6-GD,250,250,250,MT2013(250),1.0
2025-12-15,07g00,CS2,H2-201,156,156,82,"MT2013(82), CO3057(64), EE3093(10)",1.0
2025-12-15,07g00,CS2,H2-301,156,156,82,"MT2013(82), EE3063(52), IM3055(22)",1.0
2025-12-15,07g00,CS2,H2-306,156,156,82,"MT2013(82), EE3093(44), CI4197(30)",1.0
2025-12-15,07g00,CS2,H2-401,156,121,82,"MT2013(82), IM3055(28), CI4197(11)",0.7756410256410257
2025-12-15,07g00,CS2,H2-206,156,82,82,MT2013(82),0.5256410256410257
2025-12-15,07g00,CS2,H2-406,156,82,82,MT2013(82),0.5256410256410257
2025-12-15,07g00,CS2,H6-811,150,79,79,MT2013(79),0.5266666666666666
2025-12-15,07g00,CS2,H6-308,144,76,76,MT2013(76),0.5277777777777778
2025-12-15,07g00,CS2,H3-201,142,75,75,MT2013(75),0.528169014084507
2025-12-15,07g00,CS2,H3-301,142,75,75,MT2013(75),0.528169014084507
2025-12-15,07g00,CS2,H3-306,142,75,75,MT2013(75),0.528169014084507
2025-12-15,07g00,CS2,H3-401,142,75,75,MT2013(75),0.528169014084507
2025-12-15,07g00,CS2,H3-406,142,75,75,MT2013(75),0.528169014084507
2025-12-15,07g00,CS2,H3-501,142,75,75,MT2013(75),0.528169014084507
2025-12-15,07g00,CS2,H3-506,142,75,75,MT2013(75),0.528169014084507
2025-12-15,07g00,CS2,H1-101,138,73,73,MT2013(73),0.5289855072463768
2025-12-15,07g00,CS2,H1-104,138,73,73,MT2013(73),0.5289855072463768
2025-12-15,07g00,CS2,H1-307,135,71,71,MT2013(71),0.5259259259259259
2025-12-15,07g00,CS2,H2-207,135,71,71,MT2013(71),0.5259259259259259
2025-12-15,07g00,CS2,H6-311,135,71,71,MT2013(71),0.5259259259259259
2025-12-15,07g00,CS2,H1-204,129,68,68,MT2013(68),0.5271317829457365
2025-12-15,07g00,CS2,H6-113,129,68,68,MT2013(68),0.5271317829457365
2025-12-15,07g00,CS2,H6-305,129,68,68,MT2013(68),0.5271317829457365
2025-12-15,07g00,CS2,H1-401,126,66,66,MT2013(66),0.5238095238095238
2025-12-15,07g00,CS2,H1-404,126,66,66,MT2013(66),0.5238095238095238
2025-12-15,07g00,CS2,H6-211,126,66,66,MT2013(66),0.5238095238095238
2025-12-15,07g00,CS2,H6-412,123,52,65,MT2013(52),0.42276422764227645
2025-12-15,09g30,CS1,B5-GD,130,130,130,EE2405(130),1.0
2025-12-15,09g30,CS1,B4-505,120,120,63,"IM1029(63), EE2405(57)",1.0
2025-12-15,09g30,CS1,B4-406,108,108,57,"IM1029(57), EE2405(39), TR4073(12)",1.0
2025-12-15,09g30,CS1,C6-103,100,100,50,"IM3101(27), MA3145(23), MA2035(18), AS3055(17), TR4073(15)",1.0
2025-12-15,09g30,CS1,C6-102,100,32,50,"CH3399(15), MA3153(9), MA4185(7), TR4073(1)",0.32
2025-12-15,09g30,CS2,NTD,300,300,300,"IM1029(179), IM4035(51), GE3017(45), CI3245(13), IU3017(12)",1.0
2025-12-15,09g30,CS2,H6-GD,250,27,250,"MA3031(13), CH3399(8), CI2043(3), EN3025(2), IU3017(1)",0.108
2025-12-15,13g00,CS1,B5-GD,130,130,130,IM1021(130),1.0
2025-12-15,13g00,CS1,B4-505,120,117,63,"CH2035(34), CI4161(30), CH3347(20), ME4137(17), IM1021(16)",0.975
2025-12-15,13g00,CS2,NTD,300,300,300,IM1021(300),1.0
2025-12-15,13g00,CS2,H6-GD,250,250,250,IM1021(250),1.0
2025-12-15,13g00,CS2,H2-201,156,156,82,"CI3243(82), CH3347(69), IM1017(5)",1.0
2025-12-15,13g00,CS2,H2-301,156,156,82,"IM1017(60), CH2035(56), ME4137(31), TR2033(9)",1.0
2025-12-15,13g00,CS2,H2-306,156,17,82,"IM1021(12), TR2033(4), CI3243(1)",0.10897435897435898
2025-12-15,15g30,CS1,B5-GD,130,54,130,CO3011(54),0.4153846153846154
2025-12-15,15g30,CS2,NTD,300,119,300,CO3011(119),0.39666666666666667
2025-12-16,07g00,CS1,B5-GD,130,130,130,MT2007(130),1.0
2025-12-16,07g00,CS1,B4-505,120,120,63,"MT2007(63), ME2113(57)",1.0
2025-12-16,07g00,CS1,B4-406,108,108,57,"CO3007(57), CI2135(22), ME2113(20), TR5005(9)",1.0
2025-12-16,07g00,CS1,C6-103,100,51,50,"MT2007(16), ME5003(14), EE5013(11), TR5005(9), CO3007(1)",0.51
2025-12-16,07g00,CS2,NTD,300,252,300,"CO3007(212), TR4051(20), MA4119(12), GE1021(8)",0.84
2025-12-16,09g30,CS1,B5-GD,130,130,130,MT1005(130),1.0
2025-12-16,09g30,CS1,B4-505,120,92,63,"LA2017(63), CO3059(20), MT1005(9)",0.7666666666666667
2025-12-16,09g30,CS1,B4-406,108,34,57,LA2017(34),0.3148148148148148
2025-12-16,09g30,CS2,NTD,300,300,300,MT1005(300),1.0
2025-12-16,09g30,CS2,H6-GD,250,250,250,MT1005(250),1.0
2025-12-16,09g30,CS2,H2-201,156,123,82,"CO3059(61), CH4139(30), EE3121(27), MT1005(5)",0.7884615384615384
2025-12-16,13g00,CS1,B5-GD,130,130,130,SP1033(130),1.0
2025-12-16,13g00,CS1,B4-505,120,120,63,"SP1033(63), CO3017(57)",1.0
2025-12-16,13g00,CS1,B4-406,108,72,57,"SP1033(57), CO3017(15)",0.6666666666666666
2025-12-16,13g00,CS1,C6-102,100,50,50,SP1033(50),0.5
2025-12-16,13g00,CS1,C6-103,100,50,50,SP1033(50),0.5
2025-12-16,13g00,CS1,B1-208,84,44,44,SP1033(44),0.5238095238095238
2025-12-16,13g00,CS1,B1-306,84,44,44,SP1033(44),0.5238095238095238
2025-12-16,13g00,CS1,B4-502,80,42,42,SP1033(42),0.525
2025-12-16,13g00,CS1,B4-501,80,14,42,SP1033(14),0.175
2025-12-16,13g00,CS2,NTD,300,300,300,SP1033(300),1.0
2025-12-16,13g00,CS2,H6-GD,250,250,250,SP1033(250),1.0
2025-12-16,13g00,CS2,H2-201,156,156,82,"SP1033(82), CO3017(74)",1.0
2025-12-16,13g00,CS2,H2-301,156,156,82,"SP1033(82), CI2145(74)",1.0
2025-12-16,13g00,CS2,H2-306,156,156,82,"SP1033(82), ME4533(61), EE3085(13)",1.0
2025-12-16,13g00,CS2,H2-401,156,156,82,"SP1033(82), EE3085(47), CO3017(27)",1.0
2025-12-16,13g00,CS2,H2-406,156,113,82,"SP1033(82), CO3017(18), CI2145(13)",0.7243589743589743
2025-12-16,13g00,CS2,H2-206,156,82,82,SP1033(82),0.5256410256410257
2025-12-16,13g00,CS2,H6-811,150,26,79,SP1033(26),0.17333333333333334
2025-12-16,15g30,CS1,B5-GD,130,130,130,"ME4217(103), CH3015(27)",1.0
2025-12-16,15g30,CS1,B4-505,120,69,63,"TR4085(42), CH3015(21), EE3009(6)",0.575
2025-12-16,15g30,CS2,NTD,300,300,300,"TR4085(158), CH3015(125), ME4217(17)",1.0
2025-12-16,15g30,CS2,H6-GD,250,194,250,"ME4217(86), EE3009(81), EE3007(27)",0.776
2025-12-17,07g00,CS1,B5-GD,130,130,130,SP1007(130),1.0
2025-12-17,07g00,CS1,B4-505,120,120,63,"SP1007(63), PH2005(57)",1.0
2025-12-17,07g00,CS1,B4-406,108,108,57,"SP1007(57), PH2005(51)",1.0
2025-12-17,07g00,CS1,C6-102,100,100,50,"CO3037(50), SP1007(50)",1.0
2025-12-17,07g00,CS1,C6-103,100,100,50,"EE3091(50), SP1007(50)",1.0
2025-12-17,07g00,CS1,B1-208,84,84,44,"SP1007(44), PH2005(40)",1.0
2025-12-17,07g00,CS1,B1-306,84,84,44,"SP1007(44), EE3091(40)",1.0
2025-12-17,07g00,CS1,B4-501,80,80,42,"EE3069(30), PH2005(30), TR4081(20)",1.0
2025-12-17,07g00,CS1,B4-502,80,80,42,"TR4089(42), SP1007(38)",1.0
2025-12-17,07g00,CS1,B6-306,80,80,42,"TR4047(25), MA2015(21), CO3037(20), EE4451(14)",1.0
2025-12-17,07g00,CS1,C4-502,80,80,42,"EE3043(15), IM4019(15), EN3209(14), ME5005(14), EE3091(11), MA4141(11)",1.0
2025-12-17,07g00,CS1,B4-305,80,22,42,"TR4081(10), MA4189(5), EE4451(4), TR4089(3)",0.275
2025-12-17,07g00,CS2,NTD,300,300,300,SP1007(300),1.0
2025-12-17,07g00,CS2,H6-GD,250,250,250,SP1007(250),1.0
2025-12-17,07g00,CS2,H2-201,156,156,82,"SP1007(82), TR4089(74)",1.0
2025-12-17,07g00,CS2,H2-206,156,156,82,"SP1007(82), CI3241(47), EN3209(27)",1.0
2025-12-17,07g00,CS2,H2-301,156,156,82,"SP1007(82), CI3241(74)",1.0
2025-12-17,07g00,CS2,H2-306,156,156,82,"SP1007(82), TR4089(74)",1.0
2025-12-17,07g00,CS2,H2-401,156,156,82,"SP1007(82), EE3043(74)",1.0
2025-12-17,07g00,CS2,H2-406,156,156,82,"SP1007(82), TR3017(57), EE3069(17)",1.0
2025-12-17,07g00,CS2,H6-811,150,150,79,"SP1007(79), CH3321(40), EE3069(31)",1.0
2025-12-17,07g00,CS2,H6-308,144,144,76,"SP1007(76), IU2011(36), ME3171(32)",1.0
2025-12-17,07g00,CS2,H3-306,142,142,75,"SP1007(75), IM4019(18), TR4089(17), EN3209(15), CH3429(12), MA2015(5)",1.0
2025-12-17,07g00,CS2,H3-406,142,142,75,"SP1007(75), MA4087(29), CI3067(26), MA2015(12)",1.0
2025-12-17,07g00,CS2,H3-301,142,99,75,"SP1007(75), MA3011(10), EE3069(7), MA2015(5), EE3043(1), ME3171(1)",0.6971830985915493
2025-12-17,07g00,CS2,H3-201,142,75,75,SP1007(75),0.528169014084507
2025-12-17,07g00,CS2,H3-501,142,75,75,SP1007(75),0.528169014084507
2025-12-17,07g00,CS2,H3-506,142,16,75,SP1007(16),0.11267605633802817
2025-12-17,13g00,CS1,B5-GD,130,130,130,CO2003(130),1.0
2025-12-17,13g00,CS1,B4-505,120,120,63,"CH2013(63), CO2003(57)",1.0
2025-12-17,13g00,CS1,B4-406,108,108,57,"EE2417(57), CH2013(51)",1.0
2025-12-17,13g00,CS1,C6-102,100,100,50,"CO1003(50), EE2417(50)",1.0
2025-12-17,13g00,CS1,C6-103,100,100,50,"CO1003(50), CO2003(50)",1.0
2025-12-17,13g00,CS1,B1-208,84,84,44,"CO2003(44), CH2013(40)",1.0
2025-12-17,13g00,CS1,B1-306,84,84,44,"EE2417(44), CI2095(40)",1.0
2025-12-17,13g00,CS1,B4-305,80,80,42,"CH2013(42), CO1003(36), CO3027(2)",1.0
2025-12-17,13g00,CS1,B4-501,80,80,42,"CO1003(42), EE2417(38)",1.0
2025-12-17,13g00,CS1,B4-502,80,80,42,"CH2013(42), CO2003(38)",1.0
2025-12-17,13g00,CS1,B6-306,80,80,42,"ME2123(42), IM3087(38)",1.0
2025-12-17,13g00,CS1,C4-301,80,80,42,"CO3027(34), EE2417(32), TR3143(14)",1.0
2025-12-17,13g00,CS1,C4-304,80,80,42,"ME2123(26), CI1003(24), ME3011(21), IM3087(9)",1.0
2025-12-17,13g00,CS1,C4-502,80,80,42,"CI2095(42), CO2003(38)",1.0
2025-12-17,13g00,CS1,C4-402,80,48,42,"TR3143(15), CI2095(12), IM3087(10), CO2003(8), CH2013(3)",0.6
2025-12-17,13g00,CS2,NTD,300,300,300,CI2095(300),1.0
2025-12-17,13g00,CS2,H6-GD,250,250,250,CO2003(250),1.0
2025-12-17,13g00,CS2,H2-201,156,156,82,"CO1003(82), IM3087(74)",1.0
2025-12-17,13g00,CS2,H2-206,156,156,82,"CI2095(82), CO3027(74)",1.0
2025-12-17,13g00,CS2,H2-301,156,156,82,"CO1003(82), CH2013(74)",1.0
2025-12-17,13g00,CS2,H2-306,156,156,82,"CO1003(82), TR3143(74)",1.0
2025-12-17,13g00,CS2,H2-401,156,156,82,"CO2003(82), ME2123(74)",1.0
2025-12-17,13g00,CS2,H2-406,156,156,82,"IM3087(82), CH2013(74)",1.0
2025-12-17,13g00,CS2,H6-811,150,150,79,"CO1003(79), TR3143(71)",1.0
2025-12-17,13g00,CS2,H6-308,144,144,76,"EE1007(76), ME2123(68)",1.0
2025-12-17,13g00,CS2,H3-201,142,142,75,"ME3011(53), CO3027(47), CI2095(42)",1.0
2025-12-17,13g00,CS2,H3-301,142,142,75,"EE3075(69), EE3167(61), CI2095(12)",1.0
2025-12-17,13g00,CS2,H3-306,142,142,75,"CH2013(75), IM3087(67)",1.0
2025-12-17,13g00,CS2,H3-406,142,142,75,"CI1003(75), CO2003(67)",1.0
2025-12-17,13g00,CS2,H3-501,142,120,75,"TR3143(34), CO1003(33), ME2123(14), CO2003(12), EE1007(11), CI1003(6), IM3087(6), CI2095(4)",0.8450704225352113
2025-12-17,15g30,CS1,B5-GD,130,35,130,CH2045(35),0.2692307692307692
2025-12-17,15g30,CS2,NTD,300,48,300,CH2045(48),0.16
2025-12-18,07g00,CS1,B5-GD,130,130,130,SP1039(130),1.0
2025-12-18,07g00,CS1,B4-505,120,120,63,"SP1039(63), ME1021(29), MA5023(22), CI4193(6)",1.0
2025-12-18,07g00,CS1,B4-406,108,85,57,"SP1039(57), EE5015(14), CI4193(10), LA1027(4)",0.7870370370370371
2025-12-18,07g00,CS1,C6-102,100,50,50,SP1039(50),0.5
2025-12-18,07g00,CS1,C6-103,100,50,50,SP1039(50),0.5
2025-12-18,07g00,CS1,B1-208,84,44,44,SP1039(44),0.5238095238095238
2025-12-18,07g00,CS1,B1-306,84,44,44,SP1039(44),0.5238095238095238
2025-12-18,07g00,CS1,B4-502,80,42,42,SP1039(42),0.525
2025-12-18,07g00,CS1,B4-501,80,20,42,SP1039(20),0.25
2025-12-18,07g00,CS2,NTD,300,300,300,SP1039(300),1.0
2025-12-18,07g00,CS2,H6-GD,250,250,250,SP1039(250),1.0
2025-12-18,07g00,CS2,H2-201,156,156,82,"SP1039(82), GE1027(74)",1.0
2025-12-18,07g00,CS2,H2-301,156,156,82,"SP1039(82), CI2159(74)",1.0
2025-12-18,07g00,CS2,H2-306,156,156,82,"SP1039(82), IM3035(61), ME2059(13)",1.0
2025-12-18,07g00,CS2,H2-401,156,156,82,"SP1039(82), ME2059(32), IU4021(30), GE1027(12)",1.0
2025-12-18,07g00,CS2,H2-406,156,128,82,"SP1039(82), ME4083(22), GE1027(15), CI2159(9)",0.8205128205128205
2025-12-18,07g00,CS2,H2-206,156,82,82,SP1039(82),0.5256410256410257
2025-12-18,07g00,CS2,H6-811,150,79,79,SP1039(79),0.5266666666666666
2025-12-18,07g00,CS2,H6-308,144,76,76,SP1039(76),0.5277777777777778
2025-12-18,07g00,CS2,H3-406,142,75,75,SP1039(75),0.528169014084507
2025-12-18,07g00,CS2,H3-306,142,44,75,SP1039(44),0.30985915492957744
2025-12-18,09g30,CS1,B5-GD,130,129,130,"IM1033(128), LA3019(1)",0.9923076923076923
2025-12-18,09g30,CS2,NTD,300,264,300,"IM1033(169), PH1005(95)",0.88
2025-12-18,13g00,CS1,B5-GD,130,130,130,CO2007(130),1.0
2025-12-18,13g00,CS1,B4-505,120,120,63,"CO2007(63), EE2033(57)",1.0
2025-12-18,13g00,CS1,B4-406,108,108,57,"CO2007(57), EE2401(51)",1.0
2025-12-18,13g00,CS1,C6-102,100,100,50,"EE2033(50), EE2401(50)",1.0
2025-12-18,13g00,CS1,C6-103,100,100,50,"CO2007(50), EE2033(50)",1.0
2025-12-18,13g00,CS1,B1-208,84,84,44,"CO2007(44), EE2401(40)",1.0
2025-12-18,13g00,CS1,B1-306,84,84,44,"EE2033(44), CI1007(40)",1.0
2025-12-18,13g00,CS1,B4-305,80,80,42,"CO2007(42), EE2033(34), TR1003(4)",1.0
2025-12-18,13g00,CS1,B4-501,80,80,42,"EE2033(42), TR1003(38)",1.0
2025-12-18,13g00,CS1,B4-502,80,80,42,"CO2007(42), EE2401(38)",1.0
2025-12-18,13g00,CS1,B6-306,80,80,42,"ME3009(42), CI1007(38)",1.0
2025-12-18,13g00,CS1,C4-301,80,80,42,"TR1003(28), ME3009(25), AS2059(22), CH3327(5)",1.0
2025-12-18,13g00,CS1,C4-502,80,80,42,"ME4021(42), EE2401(38)",1.0
2025-12-18,13g00,CS1,C4-304,80,63,42,"CO3137(20), CH3327(16), CI1007(11), EE2401(8), ME4021(7), CO2007(1)",0.7875
2025-12-18,13g00,CS2,NTD,300,300,300,EE2033(300),1.0
2025-12-18,13g00,CS2,H6-GD,250,250,250,CI1007(250),1.0
2025-12-18,13g00,CS2,H2-201,156,156,82,"EE2033(82), CO2007(74)",1.0
2025-12-18,13g00,CS2,H2-206,156,156,82,"TR1003(82), CI1007(74)",1.0
2025-12-18,13g00,CS2,H2-301,156,156,82,"EE2033(82), CO2007(74)",1.0
2025-12-18,13g00,CS2,H2-306,156,156,82,"EE2033(82), CO2007(74)",1.0
2025-12-18,13g00,CS2,H2-401,156,156,82,"CI1007(82), EE2033(74)",1.0
2025-12-18,13g00,CS2,H2-406,156,156,82,"CO2007(82), ME4021(74)",1.0
2025-12-18,13g00,CS2,H6-811,150,150,79,"EE2033(79), CI1003(71)",1.0
2025-12-18,13g00,CS2,H6-308,144,144,76,"CO2007(76), ME4021(68)",1.0
2025-12-18,13g00,CS2,H3-306,142,142,75,"CI1007(40), CI1003(34), EE2033(32), AS2059(27), CO3137(9)",1.0
2025-12-18,13g00,CS2,H3-406,142,142,75,"ME3009(75), TR1003(53), AS2059(14)",1.0
2025-12-18,13g00,CS2,H3-301,142,67,75,"CO3137(18), CO2007(17), ME4021(15), CH3327(12), ME3009(5)",0.47183098591549294
2025-12-18,15g30,CS1,B5-GD,130,103,130,"CO3065(57), CI4131(46)",0.7923076923076923
2025-12-18,15g30,CS2,NTD,300,187,300,"CO3065(119), CI1003(68)",0.6233333333333333
2025-12-19,07g00,CS1,B5-GD,130,130,130,"IM3063(97), ME2141(33)",1.0
2025-12-19,07g00,CS1,B4-505,120,120,63,"ME2141(40), MA5015(27), AS2039(22), EE3015(22), CH4113(9)",1.0
2025-12-19,07g00,CS1,B4-406,108,40,57,"AS3169(14), MA2039(11), CH4113(10), GE2059(5)",0.37037037037037035
2025-12-19,07g00,CS2,NTD,300,300,300,"EE3015(295), IM3063(5)",1.0
2025-12-19,07g00,CS2,H6-GD,250,250,250,"IM3063(219), ME2141(31)",1.0
2025-12-19,07g00,CS2,H2-201,156,156,82,"ME2141(82), EE3205(74)",1.0
2025-12-19,07g00,CS2,H2-301,156,156,82,"CI3269(80), ME2141(65), EE3057(11)",1.0
2025-12-19,07g00,CS2,H2-306,156,156,82,"GE3105(60), ME2161(53), AS3169(43)",1.0
2025-12-19,07g00,CS2,H2-401,156,156,82,"EE3057(49), AS2039(42), MA4069(41), IU3061(24)",1.0
2025-12-19,07g00,CS2,H2-406,156,156,82,"GE2059(32), EN3023(30), CH4113(29), TR4001(24), CI3251(22), MA3103(18), EE3205(1)",1.0
2025-12-19,07g00,CS2,H2-206,156,34,82,"EE3205(15), IU3061(11), AS3169(8)",0.21794871794871795
2025-12-19,09g30,CS1,B5-GD,130,130,130,SP1031(130),1.0
2025-12-19,09g30,CS1,B4-505,120,101,63,"SP1031(63), TR3137(38)",0.8416666666666667
2025-12-19,09g30,CS1,B4-406,108,57,57,SP1031(57),0.5277777777777778
2025-12-19,09g30,CS1,C6-102,100,50,50,SP1031(50),0.5
2025-12-19,09g30,CS1,C6-103,100,50,50,SP1031(50),0.5
2025-12-19,09g30,CS1,B1-208,84,44,44,SP1031(44),0.5238095238095238
2025-12-19,09g30,CS1,B1-306,84,44,44,SP1031(44),0.5238095238095238
2025-12-19,09g30,CS1,B1-311,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,B4-305,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,B4-306,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,B4-501,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,B4-502,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,B6-306,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,C4-301,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,C4-304,80,42,42,SP1031(42),0.525
2025-12-19,09g30,CS1,C4-402,80,42,42,SP1031(42),0.525
