DATE_ONLY,CS1,CS2,TOTAL_ROOM_SLOTS_USED
2025-12-15,28.0,37.0,65.0
2025-12-16,18.0,15.0,33.0
2025-12-17,28.0,32.0,60.0
2025-12-18,25.0,27.0,52.0
2025-12-19,37.0,40.0,77.0
2025-12-20,1.0,2.0,3.0
2025-12-22,48.0,53.0,101.0
2025-12-23,50.0,48.0,98.0
2025-12-24,45.0,44.0,89.0
2025-12-25,27.0,21.0,48.0
2025-12-26,39.0,40.0,79.0
2025-12-27,10.0,14.0,24.0
2025-12-28,19.0,5.0,24.0
2025-12-29,16.0,19.0,35.0
2025-12-30,30.0,38.0,68.0
2025-12-31,23.0,25.0,48.0
2026-01-02,26.0,28.0,54.0
2026-01-03,24.0,23.0,47.0
2026-01-04,18.0,19.0,37.0
